GLEANN DA EIG (NEW SITE),,,,,,,,,,,,
Grid ref,NN603419,Long,-4.273981,Lat,56.548251,,,,,,,
Station no,5557/2/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.54,8.37,,
February,,,,,,,,4.48,4.40,11.50,,
March,,,,,,,,2.29,7.16,5.60,,
April,,,,,,,,3.23,6.89,8.41,,
May,,,,,,,,6.66,3.25,4.18,,
June,,,,,,,,4.70,5.35,3.62,,
July,,,,,,,,5.94,8.35,5.72,,
August,,,,,,,,8.60,5.30,5.21,,
September,,,,,,,,8.62,1.83,5.37,,
October,,,,,,,,7.45,6.30,10.25,,
November,,,,,,,,2.40,11.62,9.75,,
December,,,,,,,,8.00,15.81,13.10,,
Total,,,,,,,,,78.80,91.08,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.37,78.80,91.08,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
