GLEN DA EIG (OLD SITE),,,,,,,,,,,,
Grid ref,NN603419,Long,-4.273981,Lat,56.548251,,,,,,,
Station no,5557/2/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,5.30,4.44,12.46,8.70,3.00,5.90,,
February,,,,,-999.00,3.10,6.15,,3.75,5.60,,
March,,,,,2.10,2.83,6.70,,7.25,4.58,,
April,,,,,3.15,2.88,2.45,,6.52,7.58,,
May,,,,,4.92,5.25,2.55,,3.20,3.69,,
June,,,,,3.21,6.08,2.85,,5.63,3.46,,
July,,,,,1.52,7.09,7.08,,7.80,5.67,,
August,,,,,1.61,7.11,7.85,,4.70,5.12,,
September,,,,,5.47,9.72,4.43,8.20,1.60,5.18,,
October,,,,,5.32,5.65,7.33,7.00,6.10,9.83,,
November,,,,,4.18,4.07,2.90,2.40,11.04,,,
December,,,,,10.05,13.26,12.50,8.60,12.71,,,
Total,,,,,50.63,71.48,75.25,,73.30,,,
Calc annual,0.00,0.00,0.00,0.00,46.83,71.48,75.25,34.90,73.30,56.61,,
Difference,NaN,NaN,NaN,NaN,3.80,0.00,0.00,NaN,-0.00,NaN,,
