GLEN DA EIG (OLD SITE),,,,,,,,,,
Grid ref,NN603419,Long,-4.273981,Lat,56.548251,Elevation,1980,ft,,
Station no,5557/2/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,5.3,4.44,12.46,8.7,3,5.9
February,,,,,3.8,3.1,6.15,,3.75,5.6
March,,,,,2.1,2.83,6.7,,7.25,4.58
April,,,,,3.15,2.88,2.45,,6.52,7.58
May,,,,,4.92,5.25,2.55,,3.2,3.69
June,,,,,3.21,6.08,2.85,,5.63,3.46
July,,,,,1.52,7.09,7.08,,7.8,5.67
August,,,,,1.61,7.11,7.85,,4.7,5.12
September,,,,,5.47,9.72,4.43,8.2,1.6,5.18
October,,,,,5.32,5.65,7.33,7,6.1,9.83
November,,,,,4.18,4.07,2.9,2.4,11.04,
December,,,,,10.05,13.26,12.5,8.6,12.71,
Total,,,,,50.63,71.48,75.25,,73.3,
,,,,,,,,,,
Station no,5557/2/6,,,,,,,,,
Midas,15138,,,,,,,,,
Hyd Stn,862980,,,,,,,,,
