HULLAVINGTON,,,,,,,,,,,,
Grid ref,ST908808,Long,-2.134005,Lat,51.526036,,,,,,,
Station no,1494/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,4.52,3.82,,
February,,,,,,,,,0.29,2.22,,
March,,,,,,,,,3.31,1.69,,
April,,,,,,,,,2.88,1.28,,
May,,,,,,,,,1.41,1.55,,
June,,,,,,,,4.57,1.03,2.83,,
July,,,,,,,,2.50,2.56,4.57,,
August,,,,,,,,2.15,2.75,3.68,,
September,,,,,,,,4.44,0.15,3.14,,
October,,,,,,,,1.94,2.00,6.41,,
November,,,,,,,,2.64,3.10,4.69,,
December,,,,,,,,3.57,6.26,4.55,,
Total,,,,,,,,,30.26,40.43,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.81,30.26,40.43,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
