AFTON RES (MONTRAW BURN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS649034,Long,-4.129864,Lat,55.306092,Elevation,1554,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5273/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,13.17,9.9,13.8,5.7,9,15.3,12.8,8.5,2.1,2.3,8.5,11.9,10.7,6.6,11.8,8.6,12.75,7.4,6.4,7.4,8.4,4.2,7.6,7.7,6.3,11.35,10.35,5.1,8.15
February,,0.17,6.66,1.4,10.9,4.2,9.6,7.4,10.5,4.6,7.5,3.2,8.6,4.4,12.2,5.8,1.4,7.8,8.2,7.5,5,3.56,2.9,7.2,2.9,2.45,5.9,6.6,3.8,11
March,,4.14,4.65,4.4,4.3,6,3.2,7,9.5,9.4,4.1,6.5,3.9,1.5,5.4,4,7.6,6.9,3.5,7.9,4.9,4.65,1.25,5.6,2.75,4.85,8.8,2.5,7,3.2
April,,5.98,4.73,6.3,5.8,2.1,4.6,1.4,4.7,4,3.5,5.4,6.4,5,4.1,3,11.8,4.6,9.65,6.8,5,5,4.8,3.1,5.47,2.8,4.95,3.3,7.1,8.6
May,,4.7,4.91,6.9,1.2,3,3.3,8.7,1.5,2,6.5,5.8,7.9,4.6,6.6,1.7,6.6,2.2,3.6,3.05,3.35,3.45,4.2,7.25,6.75,4.75,5.35,5,2.7,3.35
June,,3.49,4.6,3.6,9.6,3.6,5.7,11.4,6.5,2.5,1.8,1.7,8.7,6.5,7.1,5.9,7.4,9.2,2.1,5.9,3,5,3,7.2,5.4,7.85,2.8,5.7,4.65,6.25
July,,8.24,9.3,5.2,4.7,9.1,9.05,10.6,8.4,7.5,4.8,7.2,3.7,5.9,6,6.9,6.8,4.9,2.6,8.9,4.2,6.8,7.5,8.1,3.6,9.75,7.6,6.35,8.8,6.6
August,,3.21,5,9,2.6,6.7,4.9,5.8,2.1,4.6,10.5,11.6,9.5,5.7,2.7,6.1,0.1,10.05,6.3,9.15,12.3,6.1,6.2,7.55,3.25,11.3,9,7.7,2.75,5.15
September,,8.95,1.85,12.3,10.7,8.5,5.8,8.5,3.5,8.9,6.1,8.7,5.1,8.6,10.7,12.6,9,10.2,3.3,18.5,8.1,4,10.2,13.65,8.85,9.65,6.7,9,2.9,6
October,,11.72,5,15,15.7,9.6,6.8,15.6,5.3,10,7.5,11.6,15.3,8.9,8.4,1.2,3.9,7.95,9.9,7.2,1.7,7.4,6.25,13.35,6.9,6.25,8.15,7.1,10.55,5.85
November,,6.45,3.4,3,10.1,8.7,1.6,14.4,15.3,10.5,9.5,2.6,6.8,11.6,1.4,13.7,9.9,6,10.9,6.05,16.05,4.5,11.2,13.55,5.3,4.55,4.15,4.2,13.3,14.8
December,,16.61,3.2,16.1,8.7,13,4.4,7.7,5.3,11.4,5.7,14.9,4.9,11.3,7.9,7.8,5.1,11.3,14.3,4.25,13.7,7.15,8.1,13.95,12.35,11.7,9.3,8.65,15.5,8.4
Total,,86.83,63.2,97,90,83.5,74.25,111.3,81.1,77.5,69.8,87.7,92.7,84.7,79.1,80.5,78.2,93.85,81.75,91.6,84.7,66.01,69.8,108.1,71.22,82.2,84.05,76.45,84.15,87.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Feb Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5273/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,620155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
