"AFTON RES (MONTRAW BURN)",,,,,,,,,,,,
Grid ref,NS649034,Long,-4.129864,Lat,55.306092,,,,,,,
Station no,5273/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.40,8.40,4.20,7.60,7.70,6.30,11.35,10.35,5.10,8.15,,
February,5.00,3.56,2.90,7.20,2.90,2.45,5.90,6.60,3.80,11.00,,
March,4.90,4.65,1.25,5.60,2.75,4.85,8.80,2.50,7.00,3.20,,
April,5.00,5.00,4.80,3.10,5.47,2.80,4.95,3.30,7.10,8.60,,
May,3.35,3.45,4.20,7.25,6.75,4.75,5.35,5.00,2.70,3.35,,
June,3.00,5.00,3.00,7.20,-999.00,7.85,2.80,5.70,4.65,6.25,,
July,4.20,6.80,7.50,8.10,3.60,9.75,7.60,6.35,8.80,6.60,,
August,12.30,6.10,6.20,7.55,3.25,11.30,9.00,7.70,2.75,5.15,,
September,8.10,4.00,10.20,13.65,8.85,9.65,6.70,9.00,2.90,6.00,,
October,1.70,7.40,6.25,13.35,6.90,6.25,8.15,7.10,10.55,5.85,,
November,16.05,4.50,11.20,13.55,5.30,4.55,4.15,4.20,13.30,14.80,,
December,13.70,7.15,8.10,13.95,12.35,11.70,9.30,8.65,15.50,8.40,,
Total,84.70,66.01,69.80,108.10,71.22,82.20,84.05,76.45,84.15,87.35,,
Calc annual,84.70,66.01,69.80,108.10,65.82,82.20,84.05,76.45,84.15,87.35,,
Difference,-0.00,0.00,0.00,0.00,5.40,0.00,-0.00,-0.00,0.00,0.00,,
