"GLEN LOY (ERRACHT)",,,,,,,,,,,,
Grid ref,NN143823,Long,-5.050410,Lat,56.894752,,,,,,,
Station no,5722/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.58,8.58,8.29,6.98,5.32,6.37,12.53,,,,,
February,5.58,5.56,6.78,5.47,4.02,3.95,4.64,,,,,
March,4.27,4.51,3.59,5.61,1.21,3.55,7.95,,,,,
April,7.13,4.20,5.93,3.35,4.85,4.28,2.03,,,,,
May,0.34,2.45,5.02,5.06,4.10,6.59,2.17,,,,,
June,3.79,5.02,1.67,5.45,4.78,2.86,4.20,,,,,
July,5.64,4.19,7.16,3.94,1.12,7.01,6.79,,,,,
August,6.33,5.10,7.62,6.66,1.78,4.64,6.64,,,,,
September,6.81,7.86,10.57,9.00,9.10,7.68,4.34,,,,,
October,3.39,9.45,4.94,12.87,9.04,7.23,10.75,,,,,
November,9.56,3.90,15.27,10.69,2.94,7.64,3.44,,,,,
December,13.92,9.62,9.13,14.81,12.74,16.10,10.74,,,,,
Total,76.34,70.44,85.97,89.89,61.00,77.90,76.22,,,,,
Calc annual,76.34,70.44,85.97,89.89,61.00,77.90,76.22,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
