GLEN LOY (ERRACHT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN143823,Long,-5.05041,Lat,56.894752,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5722/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,16,5.83,0.97,0.8,6.82,7.54,13.77,6.92,11.32,7.27,8.67,13.55,9.02,9.58,8.58,8.29,6.98,5.32,6.37,12.53,,,
February,,,,,,,6.09,9.33,10.25,3.59,6.3,3.52,11.92,5.1,12.18,7.45,0.14,7.7,15.09,9.59,5.58,5.56,6.78,5.47,4.02,3.95,4.64,,,
March,,,,,,,1.81,17.5,6.3,7.41,2.31,2.25,6.83,3.26,8.09,3.94,1.9,9.66,4.68,6.36,4.27,4.51,3.59,5.61,1.21,3.55,7.95,,,
April,,,,,,,3.16,1.67,5.69,4.09,3.83,2.24,9.15,4.79,2.52,4.28,12.51,7.05,12.91,8.23,7.13,4.2,5.93,3.35,4.85,4.28,2.03,,,
May,,,,,,,3.78,2.93,1.76,3.29,1.14,2.54,3.82,8.47,5.57,1.64,3.08,1.76,4.12,2.36,0.34,2.45,5.02,5.06,4.1,6.59,2.17,,,
June,,,,,,,5.6,10.79,2.83,3.12,1.73,4.77,7.42,6.7,7.47,6.72,5.55,6.85,2.33,5.43,3.79,5.02,1.67,5.45,4.78,2.86,4.2,,,
July,,,,,,,7.76,7.19,9.14,6.46,6,5.1,5.15,2.06,3.17,7.95,4.52,5.84,2.46,6.42,5.64,4.19,7.16,3.94,1.12,7.01,6.79,,,
August,,,,,,,6.28,6.95,3.37,5.67,9.53,8.1,7.26,4.74,4.05,5.45,0,9.17,9.11,6.55,6.33,5.1,7.62,6.66,1.78,4.64,6.64,,,
September,,,,,,,10.5,6.62,2.69,6.4,3.3,11.03,6.28,5.32,7,9.57,9.18,14.6,4.12,12.01,6.81,7.86,10.57,9,9.1,7.68,4.34,,,
October,,,,,,,2.6,17.21,2.81,6.67,8.15,11.69,14.1,6.99,5.43,0.71,4.29,12.11,11.6,9.56,3.39,9.45,4.94,12.87,9.04,7.23,10.75,,,
November,,,,,,,0.6,19.41,13.85,9.39,7.67,3.02,6.95,9.05,1.02,6.53,13.28,8.28,8.42,6.88,9.56,3.9,15.27,10.69,2.94,7.64,3.44,,,
December,,,,,,,2.27,8.64,4.21,12.64,8.21,14.09,5.53,9.42,7.18,7.76,3.48,10.21,17.78,3.48,13.92,9.62,9.13,14.81,12.74,16.1,10.74,,,
Total,,,,,,,,124.24,68.73,69.7,58.97,75.17,91.95,79.67,70.6,73.32,65.2,101.9,106.17,85.89,76.34,70.44,85.97,89.89,61,77.9,76.22,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Ja Est Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Mar Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5722/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,696987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
