PORTISHEAD-ST-MARYS-ROAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST464755,Long,-2.7721,Lat,51.47659,Elevation,67,ft,,,,,,,,,,,,,
Station no,1997,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,3.81,4.8,,5.75,0.96,4.76,1.69,4.52,2.4,2.25,,,,,,
February,,,,,,3.84,1.86,,3.28,0.99,0.3,1.59,0.05,4.12,0.45,,,,,,
March,,,,,,0.4,0.4,,2.87,0.62,2.13,1.08,2.26,2.81,1.81,,,,,,
April,,,,,,1.46,2.13,,0.96,0.94,2.51,2.44,2.79,1.12,2.37,,,,,,
May,,,,,,4.67,2.07,,0.79,2.47,0.99,4.07,5.66,2.06,1.63,,,,,,
June,,,,,,0,1.71,,3.09,1.98,0.88,3.53,0.97,1.14,1.24,,,,,,
July,,,,,,4.46,2.32,,2.49,1.19,3.47,4.35,3.16,1.3,1.05,,,,,,
August,,,,,,4.01,3.62,,2.33,3.99,3.37,3.78,1.08,0.93,2.87,,,,,,
September,,,,,,3.65,1.29,,1.06,0.4,3.02,2.5,4.51,2.08,2.92,,,,,,
October,,,,,,4.38,3.76,,5.61,5.78,3.27,0.92,6.45,2.92,2.15,,,,,,
November,,,,,,1.55,7.19,,4.14,8.99,4.12,3.92,1.61,0.65,1.21,,,,,,
December,,,,,,4.68,0.4,,3.37,6.91,3.1,2.35,1.39,1.38,7.18,,,,,,
Total,,,,,,36.91,31.55,,35.74,35.22,31.92,32.22,34.45,22.91,27.13,,,,,,
,,,,,,,,,,,,,,,,,,,,,
The Cott St Marys Road,,,,,,,,,,,,,,,,,,,,,
