CHELSHAM-FAIRCHILDES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ390606,Long,-0.006364,Lat,51.32752,Elevation,600,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,3.63,1.04,1.01,2.47,4.96,1.26,5.05,1.24,1.59,1.92,2.31,1.65,3.1,4.92,0.88,4.93,1.48,1.36,4.59,4.33,3.7,3.02,4.05,2.07,2.92,3.23,3.72,2.63,3.79,1.09,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,5.63,1.8,0.85,2,4.41,1,2.67,1.73,1.42,0.6,4.24,1.59,2.71,1.22,4.59,6.66,4.77,0.95,1.52,3.06,0.73,0.4,2.94,4.67,0.86,5.15,3.12,5.36,1.93,0.65,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,0.93,2.9,2.02,2.57,1.94,4.15,1.4,0.97,2.97,4.52,1.65,1.95,4.88,4.21,5.99,0.68,4.95,1.78,1.2,4.56,1.65,1.86,2.11,2.35,1.64,0.89,0.29,3.86,2.53,0,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,1.02,1.82,0.75,2.1,1.1,1.82,0.7,3.57,2.72,2,2.5,2.15,0.05,4.16,1.8,1.78,1.93,2.42,4.34,3.61,3.88,1.46,4.57,2.76,4.16,3.13,5.28,2.11,2.59,1.36,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,1.14,1.79,2.45,2.62,2.22,0.94,0.97,1.57,1.49,1.29,2.23,1.64,1.21,1.47,1.85,3.34,2.95,1.97,1.72,0.3,0.67,1.78,1.55,2.76,4.33,2.07,1.55,1.2,2.77,2.65,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,2.92,1.75,4.12,6.79,0.71,5.97,3.51,2.31,3.05,3.63,3.44,2.28,3.65,0.32,1.22,0.6,3.87,1.94,1.31,1.18,2.27,0.28,1.97,0.45,2.27,0.24,4.6,3.41,3.2,0.92,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,1.23,0.83,1.6,4.77,1.41,0.84,0.92,1.11,3.71,3.44,3.39,0.4,1.5,1.79,1.9,4.17,1.46,4.88,5.41,2.32,4.93,0.17,4.15,2.91,5.91,3.9,1.95,2.86,1.71,2.41,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,2.97,1.99,2.72,4.51,1.64,2.66,1.05,1.98,4.31,2.4,2.24,0.69,6.11,1.68,1.45,2.61,3.55,6.83,0.66,2.74,1.9,1.81,2.45,2.47,3.41,2.77,3.43,4.47,3.13,2.41,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,1.25,1.73,0.47,2.08,1.36,2.15,2.1,0.5,1.72,3.81,1.36,1.34,3.85,1.51,0.96,2.11,1.32,2.12,6.47,1.59,5.33,1.26,2.17,1.86,4.77,3.57,1.66,6.1,0.51,0.11,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,1.94,2.75,1.96,7.72,2.45,1.36,4.95,3.94,2.2,5.34,2.77,6.03,3.94,4.2,2.04,2.59,4.09,5.23,2.5,1.08,1.89,1.24,1.54,7,4.21,4.9,3.34,2.11,6.79,4.54,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
