WATFORD-BUSHEY-HALL-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ124962,Long,-0.37663731,Lat,51.653363,Elevation,230,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,0.7,2.18,1.31,3.97,3.22,0.69,3.76,1.67,1.6,2.95,4.28,2.78,2.65,3.16,1.55,,,,,,,
February,,,,,,,,,,0.49,3.56,1.62,1.91,0.83,2.92,4.54,3.87,0.9,1.25,3.11,0.57,0.26,2.38,3.89,,,,,,,
March,,,,,,,,,,3.4,1.21,1.85,3.73,2.45,4.94,1.08,4.78,1.81,0.8,3.98,1.78,1.55,1.97,2.85,,,,,,,
April,,,,,,,,,,2.05,1.49,1.68,0.07,3.04,0.77,1.04,1.35,2.31,4.49,3.44,3.59,1.11,3.29,1.55,,,,,,,
May,,,,,,,,,,1.2,2.24,3.09,1.42,1.43,1.88,2.31,1.91,1.69,1.92,0.49,0.98,1.22,0.93,1.94,,,,,,,
June,,,,,,,,,,3.42,2.96,2.35,2.83,0.48,2.1,1.05,2.57,2.55,1.02,1.47,2.5,0.26,1.25,0.4,,,,,,,
July,,,,,,,,,,3.37,2.08,0.53,1.58,1.67,2.01,5.53,1.28,4.39,3.56,1.89,5.03,0.24,3.58,3.2,,,,,,,
August,,,,,,,,,,1.68,2.48,1.49,4.94,1.34,1.18,2.12,4.43,4.76,1.09,2.8,1.6,1.67,3.6,,,,,,,,
September,,,,,,,,,,2.18,0.44,1.35,2.4,1.01,1.14,1.87,1.45,1.62,5.66,1.85,2.17,2.79,1.98,,,,,,,,
October,,,,,,,,,,4.68,3.06,3.15,2.53,3.37,1.81,2.33,3.33,4.9,1.52,0.7,1.82,0.8,0.93,,,,,,,,
November,,,,,,,,,,0.83,3.55,3.43,2.1,2.88,2.63,2.27,4.36,1.91,2.31,1.92,1.45,1.97,1.75,,,,,,,,
December,,,,,,,,,,3,4.69,5.91,3.4,1.03,7.36,5.83,3.16,1.03,2.64,4.8,2.64,1.39,3.01,,,,,,,,
Total,,,,,,,,,,27,29.94,27.76,30.88,22.75,29.43,33.73,34.16,29.47,29.21,30.73,26.91,15.91,27.83,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: 1922 Sep 19 - Oct 9, Temporary Gauge move and readings taken 300yds S of this NGR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
