YELVERTON-YARROW-DOUSLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX538685,Long,-4.0622,Lat,50.49878,Elevation,700,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1647/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,8.72,10.31,9.47,9.8,3.72,5.7,8.07,10.8,5.2,4.12,7.34,6.7,12.11,2.48,2.27,6.97,6,1.74,2.68,,,,,,
February,,,,,,6.13,10.71,2.44,4.38,7.11,8.18,0.59,2.84,1.78,4.78,5.7,1.84,2.78,2.8,9.43,6.54,0.85,2.46,5.64,,,,,,
March,,,,,,5.9,6.77,0.97,2.31,4.88,5.73,5.32,1.39,0.29,2.23,3.44,10.66,3.01,2.05,4.56,6.46,5.92,1.18,5.93,,,,,,
April,,,,,,2.51,4.43,0.14,3.56,3.62,1.18,3.62,1.69,3.12,1.6,2.29,4.48,2.69,3.32,3.62,2.66,5,3.94,0.62,,,,,,
May,,,,,,0.69,3.85,5.26,1.27,2.45,3.69,8.52,4.95,0.88,4.68,5.25,3.99,3.14,4.34,2.58,3.79,3.08,5.87,5.13,,,,,,
June,,,,,,2.59,1.99,2.72,4.57,1,3.06,0.63,2.44,4.67,6.68,5.89,4.28,3.15,1.21,1.9,1.54,2.96,5.01,5.29,,,,,,
July,,,,,,10.88,3.88,4.86,10.34,4.18,1.62,4.18,3.39,5.02,4.4,2.56,3.95,2.92,3.18,6.57,2.71,2.02,5.41,5.77,,,,,,
August,,,,,,1.32,0.97,6.9,4.91,0.29,6.76,6.03,4.56,3.88,2.87,6.62,1.2,5.59,2.72,9.59,9.16,6.29,3.52,5.55,,,,,,
September,,,,,,4.52,4.63,3.25,0.55,2.75,0.77,5.03,5.62,3.81,3.28,10.04,3.36,4.11,4.42,9.3,7.08,4.37,5.34,6.84,,,,,,
October,,,,,,2.54,4.93,8.01,5.22,6.04,3.11,4.94,6.32,8.14,6.72,3.82,2.49,7.54,11.39,2.74,1.53,6.97,5.69,6.08,,,,,,
November,,,,,,5.13,4.74,11.45,12.27,12.48,3.76,1.4,3.62,12.5,1.31,11.26,4.9,3.76,7.92,10.03,9.41,4.67,4.02,11.6,,,,,,
December,,,,,,8.03,6.82,7.57,6.07,7.15,5.35,9.74,4.97,5.82,8.41,8.69,4.65,9.83,3.57,5.95,5.68,5.63,1.06,5.51,,,,,,
Total,,,,,,58.96,64.03,63.04,65.25,55.67,48.91,58.07,52.59,55.11,51.08,72.9,52.5,60.63,49.4,68.54,63.53,53.76,45.24,66.64,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Gauge tested and found sound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Jan Feb Marked as estimated possibly for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Feb Marked as estimated possibly for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Feb Observer died No trace of 1955 records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
