BASINGSTOKE-CHAPEL-HILL,,,,,,,,,,
Grid ref,SU633527,Long,-1.094027,Lat,51.269945,Elevation,328,ft,,
Station no,RR1697,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,2.41,5.97,,,,,,,
February,,1.43,1.84,,,,,,,
March,,1.43,2.11,,,,,,,
April,,3.77,1.57,,,,,,,
May,,0.35,2.69,,,,,,,
June,,2.76,2.83,,,,,,,
July,,4.7,2.48,,,,,,,
August,,1.25,1.49,,,,,,,
September,,4.87,1.6,,,,,,,
October,,1.39,4.61,,,,,,,
November,,0.32,4.34,,,,,,,
December,,1.82,5.38,,,,,,,
Total,,26.5,36.91,,,,,,,
