ST DEVEREUX WHITFIELD COURT,,,,,,,,,,,
Grid ref,SO420334,Long,-2.8461762,Lat,51.996002,Elevation,427,ft,,,
Station no,RR8884,,,,,,,,,,
,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,
January,0.37,,,4.03,3.33,,,,,,
February,3.62,,,4.47,3.9,5.02,,,,,
March,0.58,,,0.89,2.13,1.05,,,,,
April,1.67,,,1.04,2.35,3.05,,,,,
May,2.42,,,1.44,0.43,,,,,,
June,4.98,,,3.37,3.07,2.01,,,,,
July,5.12,,,3.45,2.96,,,,,,
August,0.32,,,0.92,1.08,,,,,,
September,2.79,,,3.74,2.14,,,,,,
October,5.96,,,4.92,0.93,,,,,,
November,2.23,,,3.55,1.77,,,,,,
December,3.69,,,0.77,3.31,,,,,,
Total,33.75,,,32.59,27.4,,,,,,
