ILKESTON-HALLAM-FIELDS,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK476394,Long,-1.2930038,Lat,52.949878,Elevation,132,ft.,,,,,,,,,,,,,
Station no,2711/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,1.9,2.4,1.8,,,,1.43,1.39,,,,,,,,
February,,,,,,2.52,2.11,1.68,,,,2.82,0.32,,,,,,,,
March,,,,,,0.74,0.74,2.45,,,,0.12,1.67,,,,,,,,
April,,,,,,1.89,1.41,1.73,,,,3.07,2.63,,,,,,,,
May,,,,,,3.91,2.23,1.22,,,,2.72,6.43,,,,,,,,
June,,,,,,0.05,1.77,4.13,,,,4.57,0.67,,,,,,,,
July,,,,,,1.45,2.06,2.33,,,,5.28,3.41,,,,,,,,
August,,,,,,2.13,1.6,2.96,,,,3.9,1.35,,,,,,,,
September,,,,,,3.37,1.03,4.51,,,,3.58,1.49,,,,,,,,
October,,,,,,3.1,2,2.29,,,,0.46,2.86,,,,,,,,
November,,,,,,1.62,3.44,2.5,,,,2.75,1.58,,,,,,,,
December,,,,,,2.47,0.95,2.51,,,,0.99,0.51,,,,,,,,
Total,,,,,,25.15,21.74,30.11,,,,31.69,24.31,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 3505 NEW STANTON Start 1925 end 1965,,,,,,,,,,,,,,,,,,,,,
NGR is based on the descriprtion in the 1920s record. Altitudes match. 1930s readings are different observer and may be different locatiom. 1920s gauge moved 0.5 miles south at the end of Jan 1928 to New Statnton,,,,,,,,,,,,,,,,,,,,,
