GLENEAGLES HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 93084 08707,Long,-3.727477,Lat,56.258789,Elevation,425,ft,,,,,,,,,,,,
Station no,5534/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,7.27,1,6.7,5.43,9.41,5.53,1.83,3.15,4.3,6.51,5.08,2.77,6.2,6.2,8.78,,
February,,,,0.24,5.16,4.48,5.85,2.06,6.17,2.77,6.58,1.85,4.41,1.6,6.37,2.53,3.64,5.17,,
March,,,,6.02,1.69,3.67,3.71,2.99,3.4,4.04,2.49,3.88,2.25,0.2,3.63,3.67,6.2,4.32,,
April,,,,6.33,5.52,1.42,2.51,0.33,2.48,4.38,2.72,3.78,2.75,3.19,1.76,1.1,9.5,2.61,,
May,,,,2.45,0.49,1.26,3.72,4.45,1.7,1.39,3.74,5.87,4.37,2.72,5.97,1.75,3.85,2.75,,
June,,,,2.88,3.77,1.47,1.84,5.71,2.95,1,0.99,1.59,2.88,3.52,4.02,3.41,4.41,5.63,,
July,,,,2.69,0.62,5.41,4.28,4.49,5.21,6.6,2.58,3.19,2.25,3.45,4.2,4.04,4.8,4.42,,
August,,,,5.2,2.79,1.83,4.23,2.78,1.74,1.02,4.8,5.03,6.23,2.89,2.47,4.31,0.03,9.47,,
September,,,,5.23,6.92,3.75,2.7,4.15,2.72,2.74,1.49,5.94,4.15,3.93,6.21,7.5,3.98,4.79,,
October,,,,6.34,8.99,3.58,4.3,8.76,4.75,5.83,3.55,3.44,9.19,5.81,6.11,0.6,2.81,5.56,,
November,,,,1.14,6.28,3.88,0.65,8.79,8.74,7.63,4.01,0.93,1.78,8.97,0.63,7.41,4.6,3.11,,
December,,,,8.77,3.2,7.1,3.4,5.27,2.31,4.93,4.08,6.22,3.06,6.19,4.95,5.7,2.6,8.42,,
Total,,,,54.56,46.43,44.55,42.62,59.19,47.7,44.16,40.18,46.02,49.83,47.55,49.09,48.22,52.62,65.03,,
