GLENEAGLES HOUSE (LOCHSIDE),,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 92845 09340,Long,-3.73158,Lat,56.264418,Elevation,447,ft,,,,,,,,,,,,,
Station no,5534,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,5.25,5.51,6.03,3.72,3.92,5.14,9.05,6,14.24,2.09,6.18,2.88,5.17,4.46,5.81,1.09,6.83,6.08,,,
February,4.98,0.47,3.02,7.04,1.1,6.38,5.95,1.8,5.15,2.31,1.49,2.22,0.19,4.66,0.26,4.3,4.31,5.07,,,
March,4.28,6.04,2.69,2.57,1.49,1.68,2.4,4.24,8.11,0.58,3.53,1.53,2.45,2.82,4.76,1.7,3.55,3.58,,,
April,2.82,1.14,3.1,3.55,2.6,5.33,3.3,1.87,1.64,1.64,1.39,2.81,4.7,1.23,7.16,4.88,1.24,2.41,,,
May,4.42,3.2,2.16,1.19,6.29,6.26,3.29,2.57,2.22,3.93,2.36,4.68,4.08,1.55,2.29,0.57,1.44,3.8,,,
June,1.62,0.34,1.15,1,2.13,0.57,4.92,4.7,4.95,2.17,2.46,5.26,1.49,1.98,2.84,3.93,1.52,1.69,,,
July,3.54,3.74,3.93,3.24,6.5,1.45,3.19,6.1,2.07,3.41,3.43,4.91,3.78,3.68,2.78,0.62,4.91,3.89,,,
August,5.02,5.69,1.45,5.83,2.89,3.61,2.09,6.23,5.34,4.92,5.52,2.85,1.07,1.31,4.85,2.7,1.65,3.84,,,
September,1.64,2.28,1.89,5.21,6.12,3.31,3.8,6.41,4.34,0.71,6.19,1.67,3.07,1.89,4.7,6.34,3.53,2.23,,,
October,2.18,4.12,2.46,4.76,3.64,3.91,6.29,7.04,7.97,6.39,5.57,1.92,6.39,4.74,5.58,8.1,2.99,4.02,,,
November,4.12,3.22,2.56,2.94,2.7,1.19,9.27,4.8,5.19,7.07,4.51,9.23,2.27,3.24,1,5.53,3.42,0.58,,,
December,5.05,4.07,4.8,3.1,8.6,6.02,0.96,2.59,5.91,10,4.59,3.33,8.46,1.29,7.67,3.21,5.13,3.4,,,
Total,44.92,39.82,35.24,44.15,47.98,44.85,54.51,54.35,67.13,45.22,47.22,43.29,43.12,32.85,49.7,42.97,40.52,40.59,,,
,,,,,,,,,,,,,,,,,,,,,
Obs Jas Scrimgeour,,,,,,,,,,,,,,,,,,,,,
