WHITCHURCH-DODINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ543411,Long,-2.6818542,Lat,52.965304,Elevation,320,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,1.8,3.33,1.92,1.86,4.58,2.37,,3.78,1.37,3.99,2.66,1.36,0.55,,,,,,,,,
February,,,,,,,,,1.81,1.83,1.85,2.72,2.32,1.78,,1.33,2.95,2.98,1.44,4.09,2.65,,,,,,,,,
March,,,,,,,,,1.99,1.66,2.65,1.59,3.49,4.02,,0.56,2.28,2.62,1.48,1.42,1.32,,,,,,,,,
April,,,,,,,,,1.6,1.43,1.14,2.57,3.58,1.38,,3.03,3.84,3.15,1.97,3.39,1.69,,,,,,,,,
May,,,,,,,,,1.97,4.89,1.61,2.11,2.51,2.15,,2.19,0.47,2.58,5.23,2.18,2.52,,,,,,,,,
June,,,,,,,,1.95,0.54,0.95,1.2,3.68,7.12,2.26,,2.9,3.46,2.86,3.95,4.25,4.63,,,,,,,,,
July,,,,,,,,2.31,0.29,1.3,2.17,4.94,6.69,3.05,,5.86,2.48,4.42,1.03,3.95,8.87,,,,,,,,,
August,,,,,,,,1.49,2.86,2.99,1.62,1.35,3.87,3.21,,3.53,3.18,5.09,4.98,8.48,1.99,,,,,,,,,
September,,,,,,,,1.93,3.9,5.76,1.29,4.58,3.97,1.73,,4.09,5.52,3.18,2.85,2.99,2.28,,,,,,,,,
October,,,,,,,,4.43,2.98,2.35,5.49,4.17,7.63,2.04,,4.43,3.65,3.22,3.91,1.04,2.18,,,,,,,,,
November,,,,,,,,1.07,1.89,3.14,2.88,1.17,4.14,1.91,,3.91,4.58,2.59,3.77,0.43,6.86,,,,,,,,,
December,,,,,,,,2.4,6.97,3.24,2.9,1.92,5.13,0.97,,0.9,5.83,3.59,3.23,0.67,5.73,,,,,,,,,
Total,,,,,,,,,28.6,32.87,26.72,32.66,55.03,26.87,,36.51,39.61,40.27,36.5,34.25,41.27,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is 29 Dodington, a road in Whitchurch, hence the name given to the record. A B George MD, the observer, is noted as being based there. The building is still a surgery and it is noted that it has such for at least 120 years. There is a note ""Whitchurh 800 yards N""; the church is about that distance N.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874 readings crossed out with no explanation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
