BATTLE-PENOYRE-OBSERVER-WEEKES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO017311,Long,-3.4323252,Lat,51.96965,Elevation,830,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,4201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,6.32,5.51,4.72,4.27,6.19,5.63,6.29,5.84,8.47,1.53,8.68,4.46,7.69,5.09,5.02,1.9,5.87,8.42,7.13,7.39,2.83,4.02,4.51,9.12,4.89,,,,,,
February,2.83,0.17,5.1,11.38,0.96,8.02,3.84,3.95,4.61,2.31,0.74,4.43,0.22,6.39,0.46,3.8,2.31,7.02,2.21,3.34,3.2,3.96,0.69,3.59,1.35,,,,,,
March,7.47,4.04,4.69,1.71,1.95,1.74,1.82,5.27,4.13,0.39,3.46,0.89,3.04,3.96,2.97,1.14,2.9,4.4,0.44,2.59,3.1,4.06,2.79,1.19,0.49,,,,,,
April,9.13,0.62,3.81,3.31,4.11,2.97,3.28,2.4,1.68,0.91,4.76,3.41,5.18,0.75,2.94,5.57,2.89,3.74,0.23,3.59,3.81,1.22,2.56,1.12,1.94,,,,,,
May,2.83,1.21,0.7,3.76,5.02,4.13,2.52,2.26,0.97,4.38,2.58,4.12,6.46,1.83,2.42,1.6,2.45,1.81,2.9,0.6,2.38,2.52,5.8,,1.5,,,,,,
June,4.7,0.15,1.26,0.65,4.29,0.09,2.4,4.64,4.81,3.07,1.09,4.65,1.08,4.18,1.49,4.2,3.8,1.17,3.12,2.44,0.72,1.77,0.38,,1.8,,,,,,
July,4.52,1.26,4.69,2.46,6.78,3.74,3.32,6.56,2.48,2.35,5.19,3.88,3.81,3.18,1.76,0.8,6.31,3.38,3.85,7.05,3.56,3.06,4.09,,2.2,,,,,,
August,1.7,4.62,2.77,3.39,5.21,2.9,3.73,9.27,5.88,2.13,5.55,4.5,3.28,0.82,3.19,1.58,0.58,1.25,3.46,3.63,0.39,6.62,3.83,,2.82,,,,,,
September,3.79,1.68,3.22,4.03,6.82,4.29,2.43,6.27,1.8,2.01,5.81,2.22,4.07,1.75,3.24,6.19,5.29,3.03,1.86,0.67,2.26,1.62,3.65,,3.42,,,,,,
October,4.94,2.45,1.06,8.66,5.53,5.91,4.54,3.41,8.92,7.65,6.55,1.18,9.09,7.72,4.59,5.99,2.92,4.08,5.72,3.71,5.21,7.12,3.77,,,,,,,,
November,2.24,3.96,2.22,3.71,4.03,3.36,11.74,3.97,8.57,12.27,6.17,9.25,3.22,1.17,2.37,7.25,3.89,1.48,6.61,9.93,10,3.83,1.18,,,,,,,,
December,5.02,3.43,6.77,4.02,9.2,6.13,1.11,3.54,4.69,13.98,6.31,2.48,2.73,1.65,9.47,3.87,7.27,2.51,4.66,2.46,3.53,3.04,6.74,,,,,,,,
Total,55.49,29.1,41.01,51.35,60.09,48.91,47.02,57.38,57.01,52.98,56.89,45.47,49.87,38.49,39.92,43.89,46.48,42.29,42.19,47.4,40.99,42.84,39.99,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is near Penoyre at the stated altitude.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1900s gauge and later gauge may be the same position, but altitudes differ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 1940 noted as being corrected for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
