"CASTLE ASHBY, NORTHAMPTON",,,,,,,,,,,,
Grid ref,SP860593,Long,-0.742382,Lat,52.225200,,,,,,,
Station no,1104,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.71,0.83,0.90,2.12,2.27,0.82,3.80,1.05,0.95,0.83,,
February,4.97,1.08,1.46,1.10,3.52,0.71,1.70,1.38,0.97,0.55,,
March,0.91,2.31,1.54,3.04,1.59,2.49,1.52,1.04,3.16,2.48,,
April,0.73,2.59,1.09,1.53,1.15,1.74,0.79,2.17,3.57,1.94,,
May,1.53,1.61,2.00,3.12,2.39,1.29,1.77,5.29,1.62,1.23,,
June,2.67,1.62,2.42,4.64,0.49,3.58,4.10,2.06,1.17,3.32,,
July,1.20,2.79,1.53,3.08,2.33,0.46,1.25,2.13,3.50,2.67,,
August,2.56,1.79,2.95,3.55,2.17,2.98,1.06,2.16,3.20,2.14,,
September,0.52,1.79,2.00,2.15,2.42,1.33,1.00,0.53,1.84,3.09,,
October,1.89,1.68,1.94,5.74,0.86,1.24,4.69,3.65,1.29,4.00,,
November,2.29,0.95,1.98,1.64,1.40,2.88,4.33,2.32,0.94,0.83,,
December,3.37,3.40,1.51,1.19,1.58,0.99,2.34,3.52,1.58,3.68,,
Total,26.35,22.44,21.32,32.90,22.17,20.51,28.35,27.30,23.79,26.76,,
Calc annual,26.35,22.44,21.32,32.90,22.17,20.51,28.35,27.30,23.79,26.76,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
