"CASTLE ASHBY, NORTHAMPTON (overlap)",,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP862605,Long,-0.7382,Lat,52.2365,Elevation,263,ft,,,,,,,,,,,,,,
Station no,1104,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,,,,,2.56,2.35,0.88,,2.01,,,,,,,,,,,
February,,,,,,,0.4,0.63,2.27,,0.83,,,,,,,,,,,
March,,,,,,,1.88,1.71,3.14,,1.83,,,,,,,,,,,
April,,,,,,,2,1.41,1.69,,1.11,,,,,,,,,,,
May,,,,,,,4.68,2.33,1.01,,1.13,,,,,,,,,,,
June,,,,,,,1.35,0.98,1.5,,2.47,,,,,,,,,,,
July,,,,,,,4.85,0.99,4.42,,2.35,,,,,,,,,,,
August,,,,,,,2.24,1.2,2.22,,2.02,,,,,,,,,,,
September,,,,,,,0.88,1.57,0.77,,0.7,,,,,,,,,,,
October,,,,,,,3.63,1.94,0.54,,1.34,,,,,,,,,,,
November,,,,,,,2.37,1.99,3.42,,2.62,,,,,,,,,,,
December,,,,,,,4.36,1.35,1.83,,0.72,,,,,,,,,,,
Total,,,,,,,31.2,18.45,23.69,,19.13,,,,,,,,,,,
