WELTON-LE-MARSH RECTORY,,,,,,,,
Grid ref,TF470688,Long,0.199,Lat,53.196,Elevation,80,ft
Station no,RR4724,,,,,,,
,,,,,,,,
,1864,1865,1866,1867,1868,1869,1870,
January,0.70,1.47,1.05,3.01,1.38,2.37,1.13,
February,1.70,2.12,2.04,1.81,1.46,1.89,1.60,
March,1.46,1.34,1.25,2.47,0.89,2.49,0.85,
April,0.80,0.40,1.46,3.24,1.73,0.87,0.67,
May,1.67,1.80,1.47,3.19,0.26,5.85,0.89,
June,1.13,1.69,3.22,1.09,0.09,1.41,2.22,
July,0.69,4.36,3.65,2.97,0.42,0.47,0.81,
August,1.32,4.41,3.52,1.73,3.50,1.99,2.12,
September,2.02,0.40,3.57,2.20,2.91,3.46,1.65,
October,1.52,5.27,1.41,1.92,3.13,1.52,6.39,
November,2.59,2.02,2.33,0.84,0.93,1.48,1.86,
December,1.71,1.02,2.18,2.20,5.22,3.81,3.05,
Total,17.31,26.30,27.15,26.67,21.92,27.61,23.24,
,,,,,,,,
TYRain_1860-1869_04_pt1/053,,,,,,,,
TYRain_1870-1879_06_pt3/052,,,,,,,,
,,,,,,,,
# The rectory is not shown on the map. Grid reference is for St Martin's Church in Welton-le-Marsh.,,,,,,,,
