TENBURY ORLETON (extra gauge 2),,,,,,,,,,,,
SO695670,Long,-2.446453,Lat,52.299747,Elevation,193,ft,,,,,
Station no,RR36,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,1.96,2.1,2.29,2.85,4.33,,,,,,
February,,0.07,1.46,3.6,2.41,0.17,,,,,,
March,,1.4,0.74,0.39,1.47,1.77,,,,,,
April,,1.97,0.93,0.7,1.28,2.23,,,,,,
May,,3.78,1.88,2.1,3.17,0.61,,,,,,
June,,2.44,2.97,1.65,1.74,0.85,,,,,,
July,,1.76,2.89,1.9,5.39,2.79,,,,,,
August,,4.12,3.58,2.18,2.73,2.47,,,,,,
September,,1.34,2.38,1.37,2.5,0.69,,,,,,
October,,6.99,2.17,2.41,3.98,2.47,,,,,,
November,,2.7,2.18,1.45,3.42,4.83,,,,,,
December,,3.56,1.27,4.42,1.86,2.08,,,,,,
Total,,32.09,24.55,24.46,32.8,25.29,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Notes,,,,,,,,,,,,
This gauge is one of two additional gauges that the observer submitted readings for in the 1890s,,,,,,,,,,,,
"See Station RR36 for details of the full record for this site, which includes the observer's gauge no 2 for the 190",,,,,,,,,,,,
This record is one of the separate record sheets are provided for the additional gauges in the 1890s,,,,,,,,,,,,
"The Grid Reference is for Middle House in Orleton, where the observer, Mr H Davis lived in the late 1800's",,,,,,,,,,,,
