TENBURY ORLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid Ref,SO695670,Long,-2.446453,Lat,52.299747,Elevation,193,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,
January,3.63,2.25,2.5,2.69,0.99,1.89,2.93,2.79,1.75,2.46,2.03,4.14,4.32,3.03,2.7,0.47,3.53,2.38,0.53,1.42,3.45,1.03,3.33,3.48,1.31,2.58,3,3.83,3.07,4.53,2.33,2.82,5.49,3.29,2.51,3.16,2.34,3.84,1.83,2.31,0.48,0.65,2.57,3.99,3.28,2.06,4.17,2.97,0.66,0.59,3.38,1.99,2.11,2.28,2.86,4.37,0.63,2.15,,,
February,2.31,2.1,1.35,3.08,3.05,0.86,1.21,1.36,3.48,0.97,1.29,0.79,1.73,0.72,0.92,1.39,2.39,1.54,1.47,1.34,0.48,3.06,0.66,0.82,1.73,2.66,3.02,2.13,2.21,2.9,2.5,1.93,4.14,1.02,3.06,2.14,2.9,2.09,1.53,3.35,4.05,3.46,3.41,3.35,2.29,3.92,1.25,0.44,1.06,1.62,0.74,0.07,1.54,3.63,2.43,0.17,0.4,2.21,,,
March,0.41,3.11,3.05,1.04,2.4,1.25,2.59,1.89,3.49,0.81,0.86,3.87,0.34,1.27,0.86,2.21,1.13,2.59,0.5,2.17,2.05,3.55,4.16,1.11,2.51,1.13,2.3,3.84,1.76,1.79,1.86,1.76,2.3,3.38,1.04,0.98,3.32,2.1,1.13,0.81,1.52,2.06,1.23,1.38,2.86,1.28,3.19,1.37,3.07,2.8,1.57,1.47,0.82,0.39,1.47,1.73,3.12,3.44,,,
April,0.66,1.29,0.3,2.43,0.34,1.9,3.49,1.17,3.72,3.86,4.16,1.45,0.4,3.19,0.46,0.93,2.41,2.51,5.74,2.48,1.31,1.07,3.17,1.21,1.38,1.1,1.69,3.1,1.8,1.47,0.79,2.84,2.82,0.87,1.59,1.14,3.07,3.01,2.56,2.96,2.12,0.91,3.74,1.16,1.59,2.48,2.24,0.76,1.15,4.67,1.51,2.01,0.99,0.7,1.25,2.15,1.12,,,,
May,2.73,2.25,2.04,3.55,0.31,1.8,1.98,3.86,0.59,2.15,2.19,1.32,2.11,2.12,2.77,1.63,2.1,2.44,2.63,1.14,2.17,1.32,4.54,0.91,1.78,3.56,0.94,2.24,2.38,5.51,1.4,0.97,1.96,2.38,2.05,2.56,0.67,3.32,6.12,2.88,2.71,1.34,2.87,1.2,0.71,3.4,7.11,2.2,0.77,3.19,2.22,3.75,1.9,2.1,3.13,0.61,0.32,1,,,
June,1.61,2.41,1.58,2.84,0.62,3.32,2.25,1.91,5.69,1.17,0.81,2.63,5.26,4.28,1.8,3.69,1.71,2.28,3.29,1.58,7.25,3.02,2.3,4.66,1.86,2.05,5.79,1.2,0.45,1.02,0.61,3.45,5.29,2.78,1.15,2.32,1.35,1.27,3.19,6.03,4.17,2.53,4.77,2.75,2.82,2.79,1.03,1.36,3.21,0.66,1.93,2.48,3.02,1.65,1.71,0.85,1.64,2.31,,,
July,1.94,1.79,2.42,1.89,2.55,3.09,2.29,0.89,2.1,2.15,2.57,2.77,3.43,1.84,4.17,6.53,1.82,2.5,1.61,1.66,1.01,6.69,2.24,0.86,0.82,2.68,2.16,2.96,0.9,1,1.68,3.48,3.71,2.63,0.8,6.17,1.74,3.33,2.16,3.44,5.08,1.47,3.5,3.07,3.21,0.33,2.71,1.53,5.44,2.22,2.5,1.73,2.83,1.84,5.34,2.58,1.77,1.5,,,
August,2.69,4.05,1.55,3.79,2.58,3.68,3.38,1.55,4.63,1.33,1.46,1.57,5.16,2.83,1.43,1.64,5.6,5,2.05,2.97,5.77,1.05,2.27,2.57,0.79,4.8,2.98,2.19,4.6,1.2,2.09,1.29,2.57,3.63,2.64,4.08,1.99,4.89,7.81,6.21,0.32,3.88,2.55,0.86,1.99,2.87,1.46,1.88,2.81,2.61,2.79,4.01,3.55,2.16,2.71,2.4,1.9,,,,
September,2.09,4.25,2.43,1.09,2.87,2.57,1.46,2.59,4.05,3.99,2.33,0.26,7.06,2.42,0.85,2.19,3.43,2.36,2.78,2.15,2.53,2.59,4.22,3.97,2.69,0.11,6.68,1.79,2.99,5.51,1.25,7.25,2.08,1.34,3.67,3.26,5.51,2.22,3.66,3.25,3.45,1.95,3.14,5.14,2.07,3.78,2.88,1.6,0.63,1.49,1.09,1.31,2.35,1.31,2.51,0.7,3.95,,,,
October,1.71,3.14,1.01,4.56,2.44,1.26,3.41,3.89,5.04,2.88,1.56,2.66,3.71,4.84,1.75,5.72,2.55,2.89,3.77,3.35,2.36,1.72,4.14,4.09,2.23,4.83,2.66,3.2,2.24,2.06,4.87,2.93,4.52,2.05,2.11,5.94,2.29,2.32,4.26,1.07,6.17,3,5.76,2.78,1.05,4.04,3.47,1.92,0.68,3.21,1.33,7.02,2.18,2.43,4.04,2.41,2.23,,,,
November,5.71,3.17,6.35,2.65,2.85,2.58,1.39,1.6,1.49,1.34,3.33,0.79,8.22,2.27,1.44,0.8,0.87,1.76,0.77,3.82,2.98,2.75,1.2,2.52,2.36,2.98,1.66,1.19,1.9,2.37,2.78,0.8,4.42,1.59,3.29,4.04,4.12,3.32,3.21,0.99,2.17,3.33,3.99,4.38,1.85,3.24,2.29,2.61,6.48,1.02,2.95,2.78,2.17,1.45,3.51,4.7,0.97,,,,
December,0.31,2.96,0.9,0.33,0.73,3.21,0.64,4.49,2.99,3.84,2.03,1.66,3.69,1.35,1.58,1.18,3.89,0.93,2.57,2.55,5.53,1.96,2.08,1.47,2.33,1.4,1.74,1.6,6.65,4.45,2.01,1.47,4.86,0.62,2.83,1.63,6.85,1.63,2.08,1.16,3.45,2.59,3.18,0.67,2.24,0.93,3.57,2.43,2.84,1.83,1.32,3.62,1.29,4.51,1.89,2.08,3.77,,,,
Total,25.8,32.77,25.48,29.94,21.73,27.41,27.02,27.99,39.02,26.95,24.62,23.91,45.43,30.16,20.73,28.38,31.43,29.18,27.71,26.63,36.89,29.81,34.31,27.67,21.79,29.88,34.62,29.27,30.95,33.81,24.17,30.99,44.16,25.58,26.74,37.42,36.15,33.34,39.54,34.46,35.69,27.17,40.71,30.73,25.96,31.12,35.37,21.07,28.8,25.91,23.33,32.24,24.75,24.45,32.85,24.75,21.82,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The observer has 3 gauges but only submitted readings for all 3 in the 1890's prior to that he submitted readings for one station, but makes reference to having more than one gauge in earlier records",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The full record includes rain gauge 2 from the records as the observer notes this appears to be the most reliable and also covers more years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Separate record sheets are provided for the additional gauges in the 1890s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
