HERM,,,,,,,,,,,,,,,,,,,,,
Grid ref,WV396797 ,Long,-2.45307,Lat,49.46905,Elevation,20,ft,,,,,,,,,,,,,
Station no,4445,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,3.49,5.26,5.1,3.62,4.69,1.71,4.37,,1.4,3.19,2.67,0.39,6.4,4.01,5.92,5.13,
February,,,,,0.73,3.89,1.73,2.14,3.63,0.96,1.56,3.63,0.51,1.85,0.03,4.46,3.39,4.87,1.26,1.33,
March,,,,,2.57,0.65,0.72,3.24,2.57,0.06,1.63,2.36,1.75,1.96,2.71,1.23,2.43,4.22,0.39,1.76,
April,,,,,3.13,2.03,4,1.64,2.55,1.97,3.75,1.47,2.36,0.99,1.74,2.83,0.89,2.12,0.05,1.31,
May,,,,,2.52,4.87,1.75,0.67,2.37,1.69,1.43,2.77,2.13,1.35,1.83,1.86,0.76,4.45,0.67,1.09,
June,,,,,0.85,0,2.96,2.43,3.34,1.84,1.53,1.13,1.3,1.11,1.58,3.26,1.53,0.32,0.25,1.68,
July,,,,,2.45,2.27,1,2.22,0.6,1.52,2.05,2.47,1.94,1.6,0.06,0.4,4.29,1.33,2.21,2.86,
August,,,,,2,2.31,1.3,3.28,1.84,0.88,2.7,7.03,0.31,0.95,2.3,1.18,0.23,0.5,1.67,1.49,
September,,,,,3.09,1.87,0.41,7.24,1.18,1.65,3.01,2.02,3.36,2.83,2.72,2.41,2.46,2.98,0.99,1.74,
October,,,,,3.63,2.54,2.71,1.41,5.58,4.69,3.17,0.43,5.27,2.18,2.83,2.81,1.65,3.39,2.87,5.4,
November,,,,,1.71,3.69,7.69,3.1,3.08,8.23,7.78,3.54,1.26,2.61,4.05,6.05,3.62,2.62,4.41,3.71,
December,,,,,3.99,4.99,0.92,3.19,3.22,6.35,3.25,1.01,1.9,1.76,8.22,5.79,1.91,4.69,3.16,2.78,
Total,,,,,30.16,34.37,30.29,34.18,34.65,31.55,36.23,,23.49,22.38,30.74,32.67,29.56,35.5,23.85,30.28,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1929 July gauge moved 15ft ,,,,,,,,,,,,,,,,,,,,,
1931 Jan part estimated,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Exact location unknown - obs lived at The White House,,,,,,,,,,,,,,,,,,,,,
