RISE PARK,,,,,,,,
Grid ref,TA154420,Long,-0.247,Lat,53.861,Elevation,65,ft
Station no,3399/5,,,,,,,
,,,,,,,,
,1937,1938,1939,1940,1941,,,
January,3.55,2.12,4.46,-999.00,2.61,,,
February,2.44,0.68,1.18,-999.00,2.94,,,
March,2.61,0.19,2.14,0.89,2.75,,,
April,3.54,0.42,1.38,1.55,1.05,,,
May,3.63,2.86,1.55,0.71,1.57,,,
June,1.59,1.82,3.96,0.47,0.46,,,
July,3.77,3.82,1.78,7.04,3.30,,,
August,1.21,5.77,2.15,1.27,3.44,,,
September,1.38,1.98,1.05,1.09,0.95,,,
October,2.16,3.25,4.17,3.90,3.12,,,
November,1.83,2.66,3.20,4.29,2.60,,,
December,5.80,4.24,2.43,2.05,0.55,,,
Total,33.51,29.81,29.45,27.01,25.34,,,
,,,,,,,,
TYRain_1931-1940_19_pt1/261,,,,,,,,
TYRain_1941-1950_22_pt1/114,,,,,,,,
,,,,,,,,
# The readings for January and February 1940 are apportioned.,,,,,,,,
#,,,,,,,,
# No detailed location within the Rise Park estate.,,,,,,,,
