HOLMFIRTH-THONGSBRIDGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE151099,Long,-1.773379,Lat,53.585472,Elevation,465,ft.,,,,,,,,,,,,,
Station no,3183,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,3.88,10.63,1.6,7.64,5.36,4.54,4.35,4.71,2.8,,,,,
February,,,,,,,,1.01,5.94,0.81,1.15,5.83,0.54,7.98,0.19,7.44,,,,,
March,,,,,,,,4.9,3.07,0.64,3.91,0.44,2.65,2.9,4.75,1.8,,,,,
April,,,,,,,,4.2,1.57,1.87,4.41,5.2,5.2,1.46,3.14,4.61,,,,,
May,,,,,,,,1.31,2.21,3.48,1.72,3.47,7.66,1.9,3.14,0.79,,,,,
June,,,,,,,,,4.38,1.56,3.86,5.74,0.41,2.56,2.04,3.29,,,,,
July,,,,,,,,3.12,1.16,3.09,8.33,5.28,4.91,2.78,2.59,1.65,,,,,
August,,,,,,,,5.62,4.39,3.93,4.61,6.83,3.1,1.33,2.04,1.88,,,,,
September,,,,,,,,6.06,0.46,1.59,5.78,6.07,3.55,3.27,3.18,8.19,,,,,
October,,,,,,,,5.22,6.69,4.95,5.99,2.02,7.34,5.76,5.06,,,,,,
November,,,,,,,,5.8,9.24,9.96,6.04,6.1,4.05,3.59,2.8,,,,,,
December,,,,,,,,2.14,4.34,12.94,3.5,2.19,1.93,0.69,5.4,,,,,,
Total,,,,,,,,,54.08,46.42,56.94,54.53,45.88,38.57,39.04,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"NGR is based on the relationship to the station. No stated altitude, OS figure used",,,,,,,,,,,,,,,,,,,,,
