BOGSIDE LEOCHEL-CUSHNIE,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 54065 10965,Long,-2.761594,Lat,57.187182,Elevation,882,ft,,,,,,,,,,,,
Station no,RR8561,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,1.8,6.31,2.75,3,1.36,1.01,3.61,1.84,1.15,1.99,1.03,,,
February,,,,,,,2.25,1.03,2.26,1.88,4.03,3.03,5.39,1.43,1.35,1.59,4.24,,,
March,,,,,,,4.11,3.6,1.12,2.38,1.43,0.7,3.28,2.22,2.16,1.63,5.15,,,
April,,,,,,,1.8,4.1,3.72,3.09,1.08,4.09,3.96,1.67,0.88,1.24,,,,
May,,,,,,,2.34,2.18,1.13,1.8,2.38,0.91,5.55,4.44,1.96,1.76,,,,
June,,,,,,,2.15,1.93,0.55,2.26,1.3,2.5,4.29,1.17,1.88,2.87,,,,
July,,,,,,,2.82,5.24,1.09,0.81,2.72,4.42,2.61,5.12,2.47,4.47,,,,
August,,,,,,,4.5,3.1,5.6,1.41,1.81,2.63,3.47,3.06,9.64,4.7,,,,
September,,,,,,,3.29,2.77,6.07,4.97,3.05,3.3,6.46,4.67,2.59,3.55,,,,
October,,,,,,,2.22,3.03,1.73,5.78,3.76,4.08,4.69,2.95,3.38,7.34,,,,
November,,,,,,,2.16,1.11,2.28,2.25,3.44,1.75,7.06,4.25,3.85,4.96,,,,
December,,,,,,,3.95,3.1,3.75,2.63,5.95,0.95,4.6,2.37,3.54,1.96,,,,
Total,,,,,,,33.39,37.5,32.05,32.26,32.31,29.37,54.97,35.19,34.85,38.06,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8561,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
