LILLIESLEAF RIDDELL - General Sprot,,,,,,,,,,,,,,,,,,,,
Grid ref,NT516245,Long,-2.767951,Lat,55.511851,Elevation,550,ft,,,,,,,,,,,,
Station no,RR3036,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,1.09,3.17,3.1,1.25,1.38,1.1,3.57,3.71,1.98,1.62,5.47,2.96,1.15,2.98,1.04,,
February,,,,2.83,5.86,0.68,1.48,1.73,1.5,2.05,4.48,1.19,1.81,3.79,2.97,1.17,1.44,2.09,,
March,,,,1.01,1.31,3.44,2.56,3.72,1.23,2.92,1.1,1.8,1.31,5.03,2.34,2.94,1.6,,,
April,,,,0.87,1.39,1.46,0.82,1.47,3.29,2.69,2.46,2.55,1.86,1.57,2.36,2.84,0.92,,,
May,,,,1.96,4.67,0.8,0.78,1.45,1.59,3,1.8,2.31,3.19,2.02,2.93,0.87,5.8,,,
June,,,,2.14,3.46,2.42,2.28,3.35,1.69,1.68,4.65,2.32,1.96,1.48,2.73,1.99,1.71,,,
July,,,1.63,2.2,1.87,5.19,3.68,2.47,0.85,3.15,4.23,4.17,2.85,4.36,2.65,2.03,2.38,,,
August,,,3.96,2.43,4.51,4.37,1.72,3.95,1.89,1.13,4.98,4.74,2.69,3.53,2.85,4.62,5.67,,,
September,,,1.67,1.16,0.89,0.38,5.42,2.84,1.32,3.39,1.77,1.49,2,3.07,0.96,2.49,0.59,,,
October,,,4.35,1.82,2.93,5.57,4.27,1.8,4.09,1.71,4.13,2.5,2.12,8.21,0.96,2.28,5.65,,,
November,,,1.49,2.23,2.9,3.74,1.04,2.08,3.19,3.75,4.78,3.4,1.76,1.86,1.86,3.38,2.88,,,
December,,,1.38,4.1,2.2,2.35,4.79,4.62,3.05,2.6,4.61,4.54,4.55,1.83,2.18,0.87,3.06,,,
Total,,,,23.84,35.16,33.5,30.09,30.86,24.79,31.64,42.7,32.99,27.72,42.22,27.75,26.63,34.68,,,
