HARRIS TARBERT,,,,,,,,,,,,
Grid ref,NB152000,Long,-6.808562,Lat,57.898183,,,,,,,
Station no,RR8209,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,5.27,6.78,8.99,8.48,7.48,8.70,7.24,7.97,8.33,,
February,,3.32,5.39,9.45,7.80,9.25,6.30,7.12,7.76,3.64,,
March,,6.33,9.94,11.02,4.33,8.44,4.33,7.24,9.84,3.37,,
April,,5.37,3.92,3.64,9.63,4.04,5.97,3.27,4.40,4.80,,
May,,1.17,4.72,3.43,4.79,3.39,5.77,4.06,4.44,5.00,,
June,,4.92,2.71,3.57,4.72,2.06,2.21,8.01,5.66,2.42,,
July,,2.85,4.28,4.85,3.10,6.93,6.33,2.98,4.16,5.22,,
August,,7.76,3.30,12.26,7.56,6.23,5.11,8.63,5.41,6.19,,
September,,5.98,4.91,3.76,5.93,8.64,3.78,4.49,9.26,3.69,,
October,,9.89,7.31,11.68,8.56,8.28,5.91,4.17,4.87,9.59,,
November,,5.60,5.95,9.07,8.01,9.75,11.15,8.39,10.36,6.53,,
December,,8.57,7.21,4.44,9.65,7.71,10.09,7.05,10.55,8.97,,
Total,,67.03,66.42,86.16,82.56,82.20,75.65,72.65,84.68,67.75,,
Calc annual,0.00,67.03,66.42,86.16,82.56,82.20,75.65,72.65,84.68,67.75,,
Difference,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
