HARRIS TARBERT,,,,,,,,,,,,,,,,,,,,
Grid ref,NB152000,Long,-6.808562,Lat,57.898183,Elevation,40,ft,,,,,,,,,,,,
Station no,RR8209,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,5.27,6.78,8.99,8.48,7.48,8.7,7.24,7.97,8.33,7.94,6.09,5.96,5.87,8.39,7.46,,,,
February,,3.32,5.39,9.45,7.8,9.25,6.3,7.12,7.76,3.64,8.02,8.39,9.92,5.28,11.04,6.56,,,,
March,,6.33,9.94,11.02,4.33,8.44,4.33,7.24,9.84,3.37,4.64,4.27,6.97,9.58,6,3.27,,,,
April,,5.37,3.92,3.64,9.63,4.04,5.97,3.27,4.4,4.8,10.51,6.6,5.27,5.38,7.9,5.82,,,,
May,,1.17,4.72,3.43,4.79,3.39,5.77,4.06,4.44,5,4.84,5.02,4.82,5.26,5.88,1.41,,,,
June,,4.92,2.71,3.57,4.72,2.06,2.21,8.01,5.66,2.42,1.99,3.21,6,5.19,4.01,1.59,,,,
July,,2.85,4.28,4.85,3.1,6.93,6.33,2.98,4.16,5.22,4.33,8.01,2.74,1.92,3.95,5.39,,,,
August,,7.76,3.3,12.26,7.56,6.23,5.11,8.63,5.41,6.19,8.53,8.29,4.7,3.62,7.01,3.11,,,,
September,,5.98,4.91,3.76,5.93,8.64,3.78,4.49,9.26,3.69,3.21,6.41,2.66,4.25,5.16,4,,,,
October,,9.89,7.31,11.68,8.56,8.28,5.91,4.17,4.87,9.59,6.03,5.69,9.45,10.75,5.77,2.38,,,,
November,,5.6,5.95,9.07,8.01,9.75,11.15,8.39,10.36,6.53,6.66,7.99,10.72,13.83,7.44,4.08,,,,
December,,8.57,7.21,4.44,9.65,7.71,10.09,7.05,10.55,8.97,6.63,9.39,15.26,7.82,7.12,9.21,,,,
Total,,67.03,66.42,86.16,82.56,82.2,75.65,72.65,84.68,67.75,73.33,79.36,84.47,78.75,79.67,54.28,,,,
,,,,,,,,,,,,,,,,,,,,
Location approx,,,,,,,,,,,,,,,,,,,,
Station no,RR8209,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,
