HORKSTOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE985184,Long,-0.511,Lat,53.653,Elevation,75,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932
January,,3.08,0.77,1.93,0.63,1.86,3.14,0.85,1.19,1.77,1.86,0.67,2.71,0.89,1.40,0.86,1.79,1.47,3.72,3.72,2.34,2.64,0.54,3.15,1.28,3.19,2.17,2.18,1.32,1.53,2.09,1.71,2.14,1.94,4.50,2.12,2.58,2.24,0.89
February,,0.69,0.65,2.80,1.61,1.26,3.46,1.84,1.44,1.00,2.73,1.06,2.48,1.92,1.84,1.02,2.20,1.32,1.61,0.83,0.84,2.75,3.16,0.76,1.62,1.86,1.66,0.24,1.56,3.53,0.87,2.59,1.21,1.54,1.46,0.58,0.48,2.39,0.74
March,,1.73,2.05,3.40,1.43,1.22,0.49,1.90,1.44,2.45,2.13,2.46,1.95,1.25,2.87,3.39,0.92,2.01,3.19,2.58,2.00,0.86,3.80,1.59,0.89,3.01,2.01,0.78,2.13,1.68,0.94,1.49,0.69,1.72,2.09,0.16,1.67,0.45,1.83
April,,1.23,0.77,1.55,3.07,2.40,1.26,1.43,1.58,1.50,1.29,2.49,0.68,1.99,2.74,2.31,2.47,1.70,0.15,2.10,0.73,0.57,1.35,1.05,1.34,1.78,3.53,1.08,1.70,1.68,1.64,2.50,1.83,2.75,1.13,0.85,2.46,3.47,2.81
May,,0.82,0.61,1.94,1.89,3.12,1.59,0.83,2.32,2.92,1.94,0.65,2.09,4.31,1.60,0.96,3.28,0.85,3.41,2.69,1.97,1.18,2.55,1.36,2.59,0.53,2.07,2.26,1.45,3.70,3.36,3.22,2.23,1.11,1.07,1.47,1.73,2.51,4.76
June,,2.63,2.58,2.51,1.31,1.35,2.42,2.20,3.08,1.73,1.25,1.90,1.68,3.17,0.97,3.20,2.84,4.33,5.70,0.96,2.97,0.23,2.15,1.23,0.46,0.92,2.07,0.08,1.28,0.81,2.40,0.10,4.58,2.90,2.73,1.29,2.41,3.68,0.49
July,,4.87,1.32,0.22,0.56,1.34,2.42,1.45,1.84,2.33,3.24,1.62,0.96,1.74,3.15,3.89,3.89,0.58,7.91,0.42,2.25,5.26,1.59,0.65,2.58,2.29,3.44,0.62,4.48,4.19,2.73,1.23,1.77,1.97,0.55,1.77,4.99,3.51,2.12
August,,2.36,1.82,3.35,4.31,0.68,4.58,2.54,2.87,2.69,4.37,4.79,1.59,1.57,2.05,5.27,4.06,2.28,5.90,1.13,2.77,3.49,3.07,6.36,2.08,2.41,0.86,2.51,2.60,2.97,2.43,2.48,2.06,4.11,3.66,2.35,3.86,4.53,1.38
September,,0.77,3.79,3.46,0.32,2.64,0.90,0.86,0.89,3.47,1.98,1.51,1.01,0.50,1.58,1.64,0.38,2.82,2.22,2.75,1.12,1.21,0.81,0.88,3.74,1.81,1.32,0.66,2.15,2.93,2.64,2.57,0.78,3.58,0.31,0.85,3.03,3.62,1.87
October,4.40,2.94,5.47,1.63,3.79,2.81,2.56,2.19,3.14,6.27,0.97,2.18,6.10,4.70,1.02,3.74,2.79,2.13,2.94,2.70,2.99,1.13,2.11,2.87,1.29,3.15,1.14,1.06,1.48,2.10,3.96,1.97,3.30,1.98,5.79,2.89,2.28,1.33,3.04
November,1.57,2.32,1.49,2.70,2.93,1.16,2.75,3.20,1.46,1.44,0.61,3.34,3.76,2.10,1.26,0.73,3.70,3.00,3.15,2.21,2.66,2.45,2.49,1.34,1.60,2.40,0.71,1.94,1.46,2.74,1.88,1.81,2.52,2.27,2.80,4.43,3.79,3.18,1.47
December,1.56,2.25,3.91,1.82,2.40,2.71,3.15,4.31,2.08,1.00,1.41,0.52,1.85,2.72,1.99,4.77,3.22,4.21,2.29,1.57,6.08,4.53,2.67,1.26,3.43,2.69,2.48,1.73,2.50,3.14,2.38,2.40,1.02,2.57,1.99,4.57,1.82,0.89,1.34
Total,,25.69,25.23,27.31,24.25,22.55,28.72,23.60,23.33,28.57,23.78,23.19,26.86,26.86,22.47,31.78,31.54,26.70,42.19,23.66,28.72,26.30,26.29,22.50,22.90,26.04,23.46,15.14,24.11,31.00,27.32,24.07,24.13,28.44,28.08,23.33,31.10,31.80,22.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
