"DALRY THE OLD GARROCH",,,,,,,,,,,,
Grid ref,NX588823,Long,-4.215330,Lat,55.114920,,,,,,,
Station no,RR4659,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.67,4.55,5.18,,,,,,,,,
February,6.03,1.47,3.62,,,,,,,,,
March,0.39,2.60,3.77,,,,,,,,,
April,3.56,5.06,3.25,,,,,,,,,
May,4.85,1.98,3.19,,,,,,,,,
June,4.46,4.05,1.84,,,,,,,,,
July,3.52,0.76,3.20,,,,,,,,,
August,7.23,5.96,3.05,,,,,,,,,
September,4.10,5.95,4.93,,,,,,,,,
October,8.27,7.73,3.80,,,,,,,,,
November,5.79,6.62,6.46,,,,,,,,,
December,11.33,6.86,7.83,,,,,,,,,
Total,67.20,53.59,50.12,,,,,,,,,
Calc annual,67.20,53.59,50.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
