"DALRY THE OLD GARROCH",,,,,,,,,,,,
Grid ref,NX588823,Long,-4.215330,Lat,55.114920,,,,,,,
Station no,RR4659,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,5.30,10.21,6.43,4.93,8.59,4.41,8.89,7.77,,
February,,,3.75,10.24,5.32,5.61,4.97,5.03,6.37,4.63,,
March,,,3.90,13.35,4.18,6.98,4.73,6.81,8.01,5.11,,
April,,,3.28,2.32,6.02,4.57,1.83,4.08,2.22,4.34,,
May,,,3.23,3.38,3.32,2.36,7.18,6.08,3.55,2.82,,
June,,,1.85,3.10,2.71,3.32,1.64,5.91,3.31,4.92,,
July,,,3.18,4.52,3.35,2.46,3.70,2.77,4.55,6.32,,
August,,,3.02,8.95,7.88,5.27,6.57,6.93,4.81,2.57,,
September,,,4.85,6.24,5.17,2.11,1.50,1.06,7.20,3.55,,
October,,,3.82,12.34,3.70,4.81,8.80,10.08,2.53,12.33,,
November,,,6.53,5.46,6.46,8.26,5.99,5.53,5.82,3.38,,
December,,,8.08,6.86,5.85,6.14,7.72,7.66,7.90,8.93,,
Total,,,50.79,86.97,60.39,56.82,63.22,66.35,65.16,66.67,,
Calc annual,0.00,0.00,50.79,86.97,60.39,56.82,63.22,66.35,65.16,66.67,,
Difference,NaN,NaN,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,,
