"DALRY THE OLD GARROCH - 5"" gauge",,,,,,,,,,,,,,,,,,,,
Grid ref,NX588823,Long,-4.21533,Lat,55.11492,Elevation,448,ft,,,,,,,,,,,,
Station no,RR4659,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,8.69,7.6,5.79,5.08,,,,,,,,
February,,,,,,,,,6.03,4.5,11.16,7.9,,,,,,,,
March,,,,,,,,,7.8,4.62,5.17,1.83,,,,,,,,
April,,,,,,,,,2.06,4.14,4.11,4.82,,,,,,,,
May,,,,,,,,,3.42,2.67,2.97,2.78,,,,,,,,
June,,,,,,,,,3.23,4.84,2.01,2.54,,,,,,,,
July,,,,,,,,,4.4,6.12,5.06,2.53,,,,,,,,
August,,,,,,,,,4.62,2.44,10.51,,,,,,,,,
September,,,,,,,,,7.04,3.44,2.08,,,,,,,,,
October,,,,,,,,,2.41,12.07,3.93,,,,,,,,,
November,,,,,,,,,5.63,3.22,5.68,,,,,,,,,
December,,,,,,,,,7.45,8.78,10.02,,,,,,,,,
Total,,,,,,,,,62.78,64.44,68.49,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_27_pt1-page-025.csv,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_25_pt1-page-083.csv,,,,,,,,,,,,,,,,,,,,
