DALRY DALSHAUGAN,,,,,,,,,,,,,,,,,,,,
Grid ref,NX596890,Long,-4.2061158,Lat,55.175309,Elevation,500,ft,,,,,,,,,,,,
Station no,RR4659,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,3.55,4.92,3.68,7.47,4.19,3.56,2.75,7.01,,,,,
February,,,,,,,,2.9,1.15,3.28,0.98,0.3,2.45,6.71,12.65,,,,,
March,,,,,,,,1.5,3.23,2.75,3.1,4.18,1.18,2.46,3.34,,,,,
April,,,,,,,,2.04,2.93,3.05,1.82,2.14,1.29,1.77,2.81,,,,,
May,,,,,,,,1.74,2.85,4.09,3.75,2.33,5.06,3.14,,,,,,
June,,,,,,,,0.47,2.57,0.73,5.36,1.51,3.99,3.2,,,,,,
July,,,,,,,4.29,4.46,3.79,4.27,3.65,1.32,3.24,4.24,,,,,,
August,,,,,,,2.97,3.51,4.01,4.77,2.82,5.56,7.37,5.46,,,,,,
September,,,,,,,6.74,4.86,1.48,2.45,3.92,6.85,4.26,2.6,,,,,,
October,,,,,,,3.7,1.82,3.79,5.97,3.19,8.22,4.99,6.93,,,,,,
November,,,,,,,4.85,4.2,10.25,3.39,10.74,6.12,5.4,3.91,,,,,,
December,,,,,,,6.36,5.32,6.86,6.07,1.87,6.03,2.35,8.11,,,,,,
Total,,,,,,,,36.37,47.83,44.5,48.67,48.75,45.14,51.28,,,,,,
,,,,,,,,,,,,,,,,,,,,
1894 May 28 gauge moved 10 miles to Garroch,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_14_pt1-page-019.csv,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_23_pt1-page-020.csv,,,,,,,,,,,,,,,,,,,,
