"DALRY THE OLD GARROCH",,,,,,,,,,,,
Grid ref,NX588823,Long,-4.215330,Lat,55.114920,,,,,,,
Station no,RR4659,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,8.69,7.60,,
February,,,,,,,,,6.03,4.50,,
March,,,,,,,,,7.80,4.62,,
April,,,,,,,,,2.06,4.14,,
May,,,,,,,,,3.42,2.67,,
June,,,,,,,,,3.23,4.84,,
July,,,,,,,,,4.40,6.12,,
August,,,,,,,,,4.62,2.44,,
September,,,,,,,,,7.04,3.44,,
October,,,,,,,,,2.41,12.07,,
November,,,,,,,,,5.63,3.22,,
December,,,,,,,,,7.45,8.78,,
Total,,,,,,,,,62.78,64.44,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.78,64.44,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
