"CANTERBURY (HARBLEDOWN)",,,,,,,,,,,,
Grid ref,TR133580,Long,1.057141,Lat,51.281191,,,,,,,
Station no,296/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.86,1.81,0.92,1.40,2.67,3.86,1.19,3.36,1.95,2.85,,
February,5.29,0.98,1.32,1.80,1.44,1.45,2.73,2.55,0.03,2.04,,
March,2.85,2.82,0.15,2.37,1.54,0.43,0.62,1.44,1.37,1.29,,
April,1.41,0.91,1.30,0.16,0.26,0.54,0.25,1.56,1.91,0.53,,
May,1.97,1.08,1.40,1.82,3.37,0.46,0.90,1.19,0.97,1.54,,
June,1.16,1.17,2.18,2.10,1.51,1.95,0.95,3.61,1.08,1.35,,
July,0.94,0.67,2.79,1.85,1.03,2.22,2.76,1.81,1.88,2.27,,
August,2.83,2.75,1.71,4.13,2.04,2.36,2.24,3.28,1.05,3.30,,
September,3.12,4.14,3.04,1.43,1.07,1.26,2.91,3.36,0.13,2.64,,
October,1.69,1.65,2.48,1.21,3.82,0.97,0.91,3.70,2.73,6.36,,
November,4.04,3.18,1.32,4.03,0.69,0.58,3.95,1.46,4.52,4.86,,
December,2.17,2.13,0.94,1.17,1.61,2.28,1.21,3.40,4.58,3.66,,
Total,30.33,23.29,19.55,23.47,21.05,18.36,20.62,30.72,22.20,32.69,,
Calc annual,30.33,23.29,19.55,23.47,21.05,18.36,20.62,30.72,22.20,32.69,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
