LARGS (SOUTH ROUTENBURN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS196615,Long,-4.880563,Lat,55.81297,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5216/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,7.07,4.45,3.64,1.12,7.26,4.97,4.38,3.07,5.99,6.14,7.28,4.28,3.19,3.86,4.03,2.51,4.31,2.41,3.05,5.11,4.74,1.7,2.76
February,,,,,,,,2.86,6.31,1.91,4.08,1.62,4.41,1.38,5.69,3.67,1.16,4.43,4.46,4.29,2.94,1.74,1.86,4.78,2.46,1.42,3.38,3.78,1.86,3.99
March,,,,,,,,4.25,3.6,3.24,2.57,4.04,2.07,0.98,3.21,2.27,4.15,4.37,2.91,2.53,3.48,3.73,0.86,2.99,1.2,2.44,4.19,1.12,2.9,2.06
April,,,,,,,,0.25,2.83,1.9,1.31,2.18,3.77,2.79,2.04,2.31,5.91,2.73,6.03,3.04,2.26,2.23,2.69,1.97,4.03,1.29,2.14,1.85,3.19,4
May,,,,,,,,4.16,1.43,1.1,2.1,3.03,3.09,3.03,4.33,0.94,4.43,1.98,1.62,1.18,1.72,1.97,2.35,3.29,3.63,2.67,1.38,3.4,1.4,2.58
June,,,,,,,,6.13,2.29,1.32,1.75,1.96,4.18,3.5,3.94,3.27,3.78,4.52,1.23,2.19,1.97,3.15,1.53,3.53,3.78,2.91,2.56,2.85,3.43,2.43
July,,,,,,,,4.21,5.14,3.62,3.46,3.71,2.24,2.95,3.18,3.74,3.64,4.54,1.88,4.97,3.47,3.34,4.25,4.15,1.44,4.25,5.06,4.33,5.93,3.83
August,,,,,,,,3.07,2.3,2.27,4.64,6.09,7.38,3.25,2.02,2.82,0,5.77,4.61,5.62,3.88,4.67,4.2,5.66,1.31,5.26,4,4.7,1.33,3.43
September,,,,,,,,5.24,3.47,4.35,1.77,6.55,3.69,5.37,5.35,7.13,4.51,7.12,1.91,8.79,4.07,3.55,5.05,6.4,4.54,4.01,2.38,3.91,1.66,3.85
October,,,,,,,,9.94,4.14,4.97,4.08,6.08,8.16,5.95,5.52,0.28,2.18,7.44,7.06,3.93,1.72,7.03,4.89,8.11,4.72,2.95,4.77,3.26,5.07,3.13
November,,,,,,,,8.84,7.68,6.05,4.19,0.81,3.64,6.64,0.35,6.12,6.24,3.97,5.14,3.46,6.87,2.59,6.5,7.09,2.21,1.97,2.89,2.08,5.57,7.06
December,,,,,,,,4.35,2.89,6.39,2.49,7.01,2.23,5.57,4.77,6.21,2.55,6.43,6.37,1.35,7.31,4.8,4.69,4.82,5.9,5.31,4.95,6.27,9.39,5.27
Total,,,,,,,,60.37,46.53,40.76,33.56,50.34,49.83,45.79,43.47,44.75,44.69,60.58,47.5,44.54,43.55,42.83,41.38,57.1,37.63,37.53,42.81,42.29,43.43,44.39
