LARGS (SOUTH ROUTENBURN),,,,,,,,,,,,
Grid ref,NS196615,Long,-4.880563,Lat,55.812970,,,,,,,
Station no,5216/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.86,4.03,2.51,4.31,2.41,3.05,5.11,4.74,1.70,2.76,,
February,2.94,1.74,1.86,4.78,2.46,1.42,3.38,3.78,1.86,3.99,,
March,3.48,3.73,0.86,2.99,1.20,2.44,4.19,1.12,2.90,2.06,,
April,2.26,2.23,2.69,1.97,4.03,1.29,2.14,1.85,3.19,4.00,,
May,1.72,1.97,2.35,3.29,3.63,2.67,1.38,3.40,1.40,2.58,,
June,1.97,3.15,1.53,3.53,3.78,2.91,2.56,2.85,3.43,2.43,,
July,3.47,3.34,4.25,4.15,1.44,4.25,5.06,4.33,5.93,3.83,,
August,3.88,4.67,4.20,5.66,1.31,5.26,4.00,4.70,1.33,3.43,,
September,4.07,3.55,5.05,6.40,4.54,4.01,2.38,3.91,1.66,3.85,,
October,1.72,7.03,4.89,8.11,4.72,2.95,4.77,3.26,5.07,3.13,,
November,6.87,2.59,6.50,7.09,2.21,1.97,2.89,2.08,5.57,7.06,,
December,7.31,4.80,4.69,4.82,5.90,5.31,4.95,6.27,9.39,5.27,,
Total,43.55,42.83,41.38,57.10,37.63,37.53,42.81,42.29,43.43,44.39,,
Calc annual,43.55,42.83,41.38,57.10,37.63,37.53,42.81,42.29,43.43,44.39,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
