EAST-GRINSTEAD-BRAMBLETYE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ412363,Long,0.015630578,Lat,51.108612,Elevation,420,ft,,,,,,,,,,,,,
Station no,575,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,3.09,5.37,1.26,4.67,2.76,4,,,,,,,,
February,,,,,,,,5.81,2.34,0.64,1.01,2.87,0.48,,,,,,,,
March,,,,,,,,4.93,2.64,0.02,1.44,0.39,,,,,,,,,
April,,,,,,,,1.57,1.93,0.99,1.82,3.79,,,,,,,,,
May,,,,,,,,1.07,1.39,2.78,2.57,2.91,,,,,,,,,
June,,,,,,,,3.5,2.68,1.48,0.77,1.75,,,,,,,,,
July,,,,,,,,3.47,1.75,1.29,2.53,2.98,,,,,,,,,
August,,,,,,,,5.6,4.31,3.52,3.73,5.04,,,,,,,,,
September,,,,,,,,4.84,0.97,0.4,3.63,2.42,,,,,,,,,
October,,,,,,,,2.83,7.73,4.71,1.95,0.64,,,,,,,,,
November,,,,,,,,3.65,4.06,9.8,6.11,5.32,,,,,,,,,
December,,,,,,,,4.63,4.41,9.43,3.37,0.9,,,,,,,,,
Total,,,,,,,,44.99,39.58,36.32,33.6,31.77,,,,,,,,,
