FALKIRK CAULDHORNE,,,,,,,,,,,,
Grid ref,NS877812,Long,-3.802735,Lat,56.010533,,,,,,,
Station no,RR8785,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.91,8.19,3.11,1.47,4.23,2.26,4.34,4.28,,
February,,,1.15,7.68,2.80,1.97,2.99,2.81,2.05,1.50,,
March,,,2.62,8.62,1.96,3.52,3.94,3.21,3.74,2.63,,
April,,,0.68,1.30,3.98,1.95,1.25,1.61,1.12,3.44,,
May,,,1.61,1.70,3.14,1.46,4.46,3.90,2.68,2.91,,
June,,,2.08,1.97,1.43,0.65,1.71,4.45,1.94,1.53,,
July,,,3.11,4.29,2.46,2.92,1.92,1.96,3.35,2.61,,
August,,,2.01,4.94,4.16,2.90,6.12,4.45,3.16,3.04,,
September,,,1.91,2.49,2.62,1.37,1.28,1.36,4.92,1.66,,
October,,,1.57,7.07,1.31,2.33,5.64,6.11,1.62,4.72,,
November,,,1.50,1.86,1.62,4.22,3.88,1.63,3.31,2.04,,
December,,,3.35,2.22,3.99,3.51,2.50,5.55,2.04,4.84,,
Total,,,24.50,52.33,32.58,28.27,39.92,39.30,34.27,35.20,,
Calc annual,0.00,0.00,24.50,52.33,32.58,28.27,39.92,39.30,34.27,35.20,,
Difference,NaN,NaN,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
