FALKIRK CAULDHORNE,,,,,,,,,,,,,,,,,,,,
Grid ref,NS877812,Long,-3.802735,Lat,56.010533,Elevation,73,ft,,,,,,,,,,,,
Station no,RR8785,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,2.91,8.19,3.11,1.47,4.23,2.26,4.34,4.28,5.85,,,,,,,,,
February,,,1.15,7.68,2.8,1.97,2.99,2.81,2.05,1.5,4,,,,,,,,,
March,,,2.62,8.62,1.96,3.52,3.94,3.21,3.74,2.63,2.33,,,,,,,,,
April,,,0.68,1.3,3.98,1.95,1.25,1.61,1.12,3.44,4.17,,,,,,,,,
May,,,1.61,1.7,3.14,1.46,4.46,3.9,2.68,2.91,1.61,,,,,,,,,
June,,,2.08,1.97,1.43,0.65,1.71,4.45,1.94,1.53,0.99,,,,,,,,,
July,,,3.11,4.29,2.46,2.92,1.92,1.96,3.35,2.61,4.04,,,,,,,,,
August,,,2.01,4.94,4.16,2.9,6.12,4.45,3.16,3.04,6.65,,,,,,,,,
September,,,1.91,2.49,2.62,1.37,1.28,1.36,4.92,1.66,0.77,,,,,,,,,
October,,,1.57,7.07,1.31,2.33,5.64,6.11,1.62,4.72,3.13,,,,,,,,,
November,,,1.5,1.86,1.62,4.22,3.88,1.63,3.31,2.04,3.32,,,,,,,,,
December,,,3.35,2.22,3.99,3.51,2.5,5.55,2.04,4.84,2.66,,,,,,,,,
Total,,,24.5,52.33,32.58,28.27,39.92,39.3,34.27,35.2,39.52,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8785,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
