PETWORTH-BYWORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU988204,Long,-0.59413799,Lat,50.974549,Elevation,130,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,455/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,8.16,4.57,7.02,3.34,3.23,,,,,,,,,,4.52,,,,,,,,,
February,,,,,,,6.46,0.77,1.95,5.09,4.21,,,,,,,,,,7.61,,,,,,,,,
March,,,,,,,5.17,0.55,1.76,3.75,3.26,,,,,,,,,,5.15,,,,,,,,,
April,,,,,,,2.89,0.05,3.04,1.82,1.52,,,,,,,,,,2.82,,,,,,,,,
May,,,,,,,2.73,2.45,1.41,1.07,2.44,,,,,,,,,,3.04,,,,,,,,,
June,,,,,,,1.2,0.77,1.55,1.1,2,,,,,,,,,,2.91,,,,,,,,,
July,,,,,,,0.93,2.39,3.46,2.45,3.5,,,,,,,,,,1.95,,,,,,,,,
August,,,,,,,2.05,1.05,2.26,0.23,4.19,,,,,,,,,,6.51,,,,,,,,,
September,,,,,,,1.69,2.72,0.83,1.61,0.21,,,,,,,,,,3.52,,,,,,,,,
October,,,,,,,3.07,4.96,5.93,5.6,0.67,,,,,,,,,,1.77,,,,,,,,,
November,,,,,,,2.34,5.75,6.85,9.51,4.28,,,,,,,,,,8.88,,,,,,,,,
December,,,,,,,5.42,5.42,2.67,2.01,3.3,,,,,,,,,,4.66,,,,,,,,,
Total,,,,,,,42.11,31.45,38.73,37.58,32.81,,,,,,,,,,53.34,,,,,,,,,
