"HARPTREE HILL",,,,,,,,,,,,
Grid ref,ST543559,Long,-2.656890,Lat,51.300378,,,,,,,
Station no,1969,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.55,3.89,0.76,2.36,4.12,5.48,5.08,3.49,5.51,4.56,,
February,6.05,0.91,2.04,5.07,2.96,0.30,4.66,5.21,0.36,3.27,,
March,4.68,5.16,1.06,4.39,1.43,1.81,3.76,1.71,5.17,2.55,,
April,4.72,2.40,4.07,0.57,1.79,1.76,0.27,1.75,4.05,2.44,,
May,3.90,4.31,2.73,3.55,4.66,0.75,2.98,4.01,1.47,1.41,,
June,0.99,5.41,2.80,5.44,3.98,3.08,2.42,3.56,2.37,3.95,,
July,2.24,1.02,6.22,4.16,0.23,3.11,5.66,4.32,2.78,6.31,,
August,7.16,5.86,4.48,4.17,0.94,4.88,5.74,5.48,1.35,6.71,,
September,3.47,4.56,4.48,6.76,3.55,5.72,6.33,6.97,0.40,5.24,,
October,1.01,5.61,3.01,5.10,1.83,1.91,4.45,4.81,3.85,9.04,,
November,10.98,4.83,2.93,8.64,5.64,0.98,3.63,3.49,6.33,6.38,,
December,3.38,3.51,1.20,3.59,5.25,4.17,3.62,6.77,9.71,6.14,,
Total,53.13,47.47,35.78,53.80,36.38,33.95,48.60,51.57,43.35,58.00,,
Calc annual,53.13,47.47,35.78,53.80,36.38,33.95,48.60,51.57,43.35,58.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
