MELTON-GREYLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM285507,Long,1.33539,Lat,52.107396,Elevation,40,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.42,2.1,1.33,2.46,1.38,3.28,1.52,1.91,1.94,0.89,1.38,1.6,2.2,3.64,5.03,2.74,5.44,1.69,2.5,2.79,3.53,1.53,1.9,1.95,2.27,4.03,1.18,1.42,1.71,2.71,0.83,1.6,2.34,4.05,1.43,2.47,2.24,3.96
February,,,,3.3,1.33,1.89,1.8,2.3,0.99,0.54,1.04,2.85,0.53,1.46,0.65,2.74,3.31,3.9,0.84,0.85,1.41,1.9,0.7,0.67,1.54,1.47,1.54,1.96,1.11,1.05,2.24,3.78,0.92,1.31,2.23,2.06,1.14,2.64,3.11,0.18,1.18
March,,,,1.09,0.55,1.49,0.22,2.26,2.35,0.08,1.51,0.33,1.5,1.89,2.38,0.97,0.62,2.73,0.42,1.94,2.7,2.91,2.59,0.43,0.28,0.77,1.68,4.08,0.91,0.93,0.67,3.19,3.26,0.32,2.28,1.48,0.8,1.24,1.3,1.46,1.71
April,,,,0.86,2.53,2.18,2.93,1.99,1.58,1.9,1.7,3.69,2.58,1.39,2.73,2.42,1.22,2.77,0.48,3.07,1.31,1.32,0.61,0.62,1.87,1.1,0.88,1.44,1.33,1.32,1.04,3.12,0.61,1.64,0.24,0.21,0.85,0.36,1.02,1.52,0.7
May,,,,1.24,4.7,1.61,1.41,0.66,2.04,1.07,2.33,2.2,3.44,1.49,1.95,1.81,1.1,2.63,2.11,1.11,0.4,1.86,1.92,1.54,0.66,2.03,1.22,0.37,1.17,1.91,1.34,2.2,1.32,1.41,1.28,2.21,0.81,1.69,2.84,0.24,0.72
June,,,,0.61,1.73,0.55,1.9,3.73,2.14,0.75,0.88,1.8,0.64,1.58,1,2.44,4.52,1.29,0.91,1.31,0.46,0.66,0.63,1.92,1.58,1.87,3.62,2.12,2.48,0.49,1.35,1.17,1.39,2.42,1.36,2.63,1.8,2.02,3.99,0.4,1.68
July,,,,1.34,3.23,2.02,1.65,2.74,2.59,4.79,4.53,2.84,3.33,1,2.22,0.33,4.23,1.44,1.65,1.87,5.46,2.12,2.22,0.74,1.43,1.44,2.81,1.19,1.47,0.59,2.63,2.54,0.88,2.88,2.44,0.2,1.76,2.96,2.15,2.89,3.47
August,,,,2.02,2.38,1.98,1.09,5.36,1.36,1.45,3.05,3.32,1.32,1,2.21,1.41,0.98,1.06,1.32,1.83,0.28,3.77,1.13,1.11,1.1,2.83,4.02,1.1,3.89,1.38,1.94,3.16,2.31,1.41,4.21,2.75,3.95,2.82,3.43,1.28,3.13
September,,,,1.39,3.49,2.9,1.15,3.08,0.95,0.67,5.37,2.27,1.41,3.41,1.71,4.1,2.48,2.58,2.38,0.8,0.7,0.28,2.15,2.51,2.73,1.31,1.75,0.92,1.66,1.26,3.64,3.14,3.34,1.53,1.54,1.53,2.26,2.79,2.18,0.01,4.45
October,,,,3.96,4.69,2.81,3.49,1.97,1.8,2.75,0.91,0.94,4.69,1.74,1.35,3.37,2.47,2.03,3.11,8.48,2.17,2.35,4.23,1.72,4.31,1.31,1.09,0.3,1.83,3.91,0.61,0.6,1.69,1.84,1.67,4.02,1.61,1.62,2.64,1.93,6.25
November,,,,3.02,1.72,3.1,3.92,2.95,2.5,4.55,3.67,2.18,1.27,2.43,1.66,4.15,3.4,1.3,2.4,4.49,6.39,2.4,3.17,1.77,4.31,0.94,3.8,1.63,1.77,2.21,4.24,4.16,4.99,1.08,3.98,0.62,1.03,1.75,0.92,2.68,3.25
December,,,,2.89,2.77,2.04,0.71,2.37,4.28,4.44,2.24,0.79,0.55,0.79,4.16,2.5,1.46,3.67,3.23,1.62,1.99,1.45,2.69,1.58,1.55,2.41,3.2,3.71,1.58,1.58,1.53,2.01,2.9,0.79,2.21,1.63,1.98,2.08,3.59,3.26,3.71
Total,,,,23.14,31.22,23.9,22.73,30.79,25.86,24.51,29.14,25.15,22.15,19.56,23.62,28.44,29.43,30.43,21.59,32.81,24.96,23.52,24.83,18.14,22.89,19.38,27.56,21.09,23.23,17.81,22.65,30.78,26.32,17.46,25.04,21.68,22.04,23.4,29.64,18.09,34.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
