LUSTLEIGH-SUN-HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,SX779821,Long,-3.7271,Lat,50.6258,Elevation,650,ft,,,,,,,,,,,,
Station no,1737/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,0.74,8.53,9.56,6.06,8.91,3.35,7.38,5.61,11.5,3.08,4.15,6.23,5.8,9.45,0.77,
February,,,,,3.86,6.66,7.57,1.61,2.43,6.26,6.1,0.6,2.69,0.5,2.89,4.77,2.45,2.12,2.61,
March,,,,,1.78,6.2,6.98,0.11,2.17,3.73,5.11,3.8,1.83,0.11,1.04,2.43,9.96,1.95,1.1,
April,,,,,5.27,2.7,5.12,0.22,3.43,4.65,1.25,2.58,,2.84,0.84,2.55,3.55,2.58,2.34,
May,,,,,2.54,1.98,3.29,3.75,0.8,1.7,2.79,9.22,4.56,0.54,4.06,7.97,3.33,1.8,1.82,
June,,,,,5,1.8,1.46,1.63,3.36,1.09,2.59,0.83,0.86,2.04,2.74,2.83,2.86,2.34,0.56,
July,,,,1.16,0.41,8.08,0.87,4.75,6.98,3.45,0.9,1.69,2.31,3.02,3.18,0.99,2.58,0.6,1.97,
August,,,,3.89,1.95,0.06,1.2,8.2,3.59,0.11,4.36,4.37,2.92,3.75,2.45,5.54,1.67,3.45,1.33,
September,,,,2.76,3.58,3.7,1.89,1.47,0.55,1.6,0.82,2.9,4.08,2.98,3.04,9.05,2.17,1.28,4.21,
October,,,,3.02,4.21,1.22,3.72,4.69,6.94,5.73,2.21,3.19,5.2,5.75,5.83,3.94,1.15,3.99,,
November,,,,2.52,7.57,4.27,3.49,7.55,9.47,9.28,3.94,1.19,3.11,8.55,1.01,9.76,3.64,1.53,5.52,
December,,,,15.25,7.22,5.82,4.81,6,2.28,3.94,4.24,7.91,4.08,3.92,8.45,6.3,3.11,8.93,1.44,
Total,,,,,44.13,51.02,49.96,46.04,50.91,44.89,41.69,43.89,,37.08,39.68,62.36,42.27,40.02,,
,,,,,,,,,,,,,,,,,,,,
Sun Hill between Uppalong and Tennacott,,,,,,,,,,,,,,,,,,,,
Formerly observing at N Walsham Stn No 1437,,,,,,,,,,,,,,,,,,,,
1940 Jan Feb Part estimated Not marked so possibly for snow,,,,,,,,,,,,,,,,,,,,
1943 Apr 21-23 Estimated by ref to surrounding stns,,,,,,,,,,,,,,,,,,,,
1949 Oct Part estimated,,,,,,,,,,,,,,,,,,,,
