LOCH BENACHALLY SOUTH,,,,,,,,,,
Grid ref,NO078491,Long,-3.504286,Lat,56.624644,Elevation,1060,ft,,
Station no,5568/51,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,1.6,5.14
February,,,,,,,,,0.85,6
March,,,,,,,,,3.75,3.4
April,,,,,,,,,3.55,4.65
May,,,,,,,,,1.05,3.3
June,,,,,,,,,2,2.8
July,,,,,,,,,5.5,4.2
August,,,,,,,,,1.55,4
September,,,,,,,,,1.1,3.1
October,,,,,,,,,4,7
November,,,,,,,,,5.7,4
December,,,,,,,,,8.3,3.3
Total,,,,,,,,,38.95,50.89
,,,,,,,,,,
See also Midas 15256,,,,,,,,,,
,,,,,,,,,,
Station no,5568/51,,,,,,,,,
Midas,15257,,,,,,,,,
Hyd Stn ,876516,,,,,,,,,
