"LIVERPOOL (SMITHDOWN RD.)",,,,,,,,,,,,
Grid ref,SJ391885,Long,-2.917178,Lat,53.389809,,,,,,,
Station no,2814,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.28,3.62,1.39,3.14,2.14,4.20,1.55,2.79,3.33,5.53,,
February,2.51,1.04,1.34,2.79,2.24,0.43,2.24,5.37,0.24,1.94,,
March,4.88,2.15,1.07,2.12,1.84,1.57,2.31,1.52,1.46,1.66,,
April,1.43,2.00,2.24,0.83,1.78,3.13,0.51,0.85,3.33,1.39,,
May,3.06,1.96,2.13,2.84,3.00,1.04,1.52,2.81,1.60,2.45,,
June,1.29,2.14,1.49,3.78,3.52,2.42,1.76,4.44,2.29,1.06,,
July,1.44,1.60,3.46,4.14,0.66,5.08,4.45,4.28,4.41,4.25,,
August,5.11,2.31,3.55,5.33,1.88,9.22,3.88,3.55,1.26,4.26,,
September,2.97,3.83,3.39,3.37,2.34,2.36,6.96,4.94,0.23,4.22,,
October,0.99,4.42,1.52,6.56,2.30,3.14,3.19,3.21,3.34,4.30,,
November,7.60,3.12,2.89,5.75,1.53,1.76,1.50,2.17,4.71,6.06,,
December,4.96,3.81,1.47,4.11,3.71,2.38,3.34,5.06,5.25,3.34,,
Total,38.52,32.00,25.94,44.76,26.94,36.73,33.21,40.99,31.45,40.46,,
Calc annual,38.52,32.00,25.94,44.76,26.94,36.73,33.21,40.99,31.45,40.46,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,,
