UPPER-BEEDING-SELE-GARDENS,,,,,,,,,,
Grid ref,TQ195105,Long,-0.30267067,Lat,50.881645,Elevation,16,ft,,
Station no,487/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.21,4.38,6.09,2.84,5.13,3.88,3.28
February,,,,2.71,1.88,0.39,5.29,2.77,0.08,3.86
March,,,,3.55,0.99,0.43,2.04,2.12,1.96,2
April,,,,0.45,0.2,1.45,0.13,1.09,2.83,0.88
May,,,,2.04,3.54,0.53,1.46,3.17,0.58,1.64
June,,,,3.56,2.1,2.64,1.47,4,1.41,2
July,,,,4.05,0.27,3.04,5.25,2.37,1.76,5.43
August,,,,3.15,1.32,4.19,2.97,5.45,1.75,6.18
September,,,,3.38,2.37,3.78,3.74,4.58,0.1,5.04
October,,,,2.71,2.88,1.53,2.2,3.2,3.54,8.56
November,,,,6.25,1.62,0.76,3.6,2.67,4.51,7.3
December,,,,3.17,4.3,4.97,2.54,4.91,8.17,5.17
Total,,,,36.23,25.85,29.8,33.53,41.46,30.57,51.34
