STILLINGTON CARLTON IRON WORKS,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3518,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,,,3.03,
February,,,,,,,,,,,1.31,
March,,,,,,,,,,,2.98,
April,,,,,,,,,,,2.64,
May,,,,,,,,,,,1.10,
June,,,,,,,,,,1.59,1.29,
July,,,,,,,,,,2.15,5.12,
August,,,,,,,,,,2.20,3.65,
September,,,,,,,,,,1.06,3.05,
October,,,,,,,,,,1.95,1.99,
November,,,,,,,,,,2.57,3.54,
December,,,,,,,,,,2.73,2.15,
Total,,,,,,,,,,,31.85,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.25,31.85,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,
