SIMONBURN (PARK END),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY872757,Long,-2.202006,Lat,55.075589,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3570/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.07,2.63,5.72,1.24,4.32,3.6,2.94,1.72,3.89,2.51,1.92,7.94,2.4,2.84,2.18,3.65,0.87,3.48,3.4,3.33,3.87,1.92,1.78,4.17
February,,,,,,,3.88,1.33,1.93,1.67,5.06,1.53,2.51,1.95,3.22,1.53,2.1,2.45,1.97,4.07,1.85,0.39,1.89,2.02,2.41,2.23,2.39,3.97,0.55,2.18
March,,,,,,,3.24,1.29,3.85,3.49,3.52,1.41,1.15,0.48,1.04,0.99,4.53,1.39,0.45,1.74,2.56,1.85,0.7,1.56,1.79,0.92,1.2,2.38,1.28,2.07
April,,,,,,,2.32,0.23,1.42,1.63,1.37,1.3,1.69,1.82,2.31,0.75,4.76,2.3,1.94,2.42,2.31,2.04,3.02,0.72,0.82,0.99,0.68,1.98,2.24,1.5
May,,,,,,,3.5,2.45,0.89,1.05,2.05,1.04,3.47,2.28,4.47,2.09,2.22,1.78,1.14,1.32,2.5,2.08,2.71,4.66,2.21,0.87,1.54,3.1,0.28,2.09
June,,,,,,,0.93,3.73,2.11,0.69,0.75,0.95,2.1,2.8,2.61,3.91,3.92,3.29,0.6,2.31,0.96,1.82,1.34,2.12,1.85,3.77,1.13,2.36,2.82,0.73
July,,,,,,,2.07,2.86,3.82,6.37,0.47,2.5,2.24,3.22,1.73,3.66,3.75,1.69,2.11,3.47,2.42,1.52,2.99,2.73,1.67,2.48,2.73,5.07,2.67,4.03
August,,,,,,,2.87,3.2,3.01,1.36,4.6,3.5,3.91,2.07,1.31,3.95,0.37,5.18,1.88,4.51,4.02,3.85,4.68,4.58,1.34,8.21,3.25,2.83,0.33,3.39
September,,,,,,,4.01,1.37,1.24,2.86,0.42,2.57,3.27,5.96,2.57,3.86,1.33,3.21,1.9,4.89,1.38,4.31,3.88,5.87,2.18,3,3.23,3.32,0.71,1.11
October,,,,,,,2.15,5.94,4.86,2.63,3.22,2.72,3.24,2.95,3.9,0.55,0.46,2.1,3.52,1.89,0.84,2.48,1.16,6.83,1.65,2.23,2.61,2.1,2.96,3.97
November,,,,,,,0.94,3.02,4.26,3.46,2.18,0.55,2.81,6.85,0.39,3.84,4.22,2.56,4.2,4.68,6.31,2.7,2.88,3.36,1.16,0.85,1.3,0.98,4.55,4.3
December,,,,,,,4.07,3.94,1.38,2.92,1.18,2.68,1.67,2.67,1.34,2.01,3.02,2.37,5.69,2.05,3.33,3.66,1.9,4.44,5.38,2.73,2.01,3.34,4.48,4.31
Total,,,,,,,33.05,31.99,34.49,29.37,29.14,24.35,31,34.77,28.78,29.65,32.6,36.26,27.8,36.19,30.66,30.35,28.02,42.37,25.86,31.61,25.94,33.35,24.65,33.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 arithmetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 total arithmetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Below were all noted as having been adjusted on record - mainly for winter months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1937 Jan, Dec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1938 Jan,Feb, June, Oct,Nov,Dec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1939 Jan, Feb, Dec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1940 Jan, Feb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1941 Jan, Feb, Mar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1942 Jan, Mar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR on 1950s record very wrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
