STRONACHLACHAR (INVERGYLE) NEW GAUGE,,,,,,,,,,
Grid ref,NN402103,Long,-4.581294,Lat,56.258236,Elevation,376,ft,,
Station no,5369,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,14.46,11.87,3.6,6.27
February,,,,,,,8,4.01,3.78,9.27
March,,,,,,,8.98,2.97,7.34,3.65
April,,,,,,,3.7,4.29,6.85,10.24
May,,,,,,,3.75,5.87,2.65,5.22
June,,,,,,,3.14,4.65,4.48,3.5
July,,,,,,,6.11,4.98,7.81,6.39
August,,,,,,,7.34,8.06,4.13,4.99
September,,,,,,,5.11,6.91,2.16,4.18
October,,,,,,,9.27,8.61,9.96,5.74
November,,,,,,5.32,3.39,2.82,9.1,10.6
December,,,,,,14.55,12.76,10.55,15.11,11.05
Total,,,,,,,86.01,75.59,76.97,81.1
