"SILVERSTONE (MODERN SCHOOL)",,,,,,,,,,,,
Grid ref,SP668438,Long,-1.026463,Lat,52.088528,,,,,,,
Station no,1095,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.91,,,,,,,,,,,
February,3.22,,,,,,,,,,,
March,4.45,,,,,,,,,,,
April,1.57,,,,,,,,,,,
May,3.72,,,,,,,,,,,
June,1.56,,,,,,,,,,,
July,0.87,,,,,,,,,,,
August,1.95,,,,,,,,,,,
September,1.50,,,,,,,,,,,
October,0.95,,,,,,,,,,,
November,5.90,,,,,,,,,,,
December,1.75,,,,,,,,,,,
Total,30.35,,,,,,,,,,,
Calc annual,30.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
