STAFFORD-SALT-VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ953278,Long,-2.0712294,Lat,52.847681,Elevation,273,ft.,,,,,,,,,,,,
Station no,RR4233,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,3.66,1.46,2.33,1.82,2.33,3.59,1.32,2.04,1.58,4.02,3.6,1.77,1.38,1.96,2.07,1.23,,,,
February,0.67,0.6,2.21,2.66,3.09,0.23,1.31,3.1,1.63,2.3,3.47,1.58,1.58,1.29,2.72,0.81,,,,
March,1.62,1.15,0.9,0.59,1.46,2.29,3.36,2.18,0.85,1.12,0.83,1.77,1.92,3.93,1.61,2.98,,,,
April,1.39,1.87,0.99,0.65,1.64,2.04,1.1,3.59,2.07,2.7,1.39,1.89,1.49,1.89,1.96,2.3,,,,
May,1.99,3.04,4.11,2.11,1.78,0.78,0.38,1.09,3.76,3.17,1.66,0.67,2.39,2.43,1.97,0.48,,,,
June,1.24,2.66,4.15,0.98,3.09,1.08,2.03,3.1,1.61,2.45,3.26,2.32,2.27,1.25,0.44,4.31,,,,
July,3.03,3.23,2.65,3.32,2.57,4.23,1.37,1.13,1.16,1.64,2.75,2.4,2.41,2.37,2.06,1.67,,,,
August,2.86,4.17,2.25,1.9,3.2,2.99,2.68,4.28,3.48,1.38,4.15,3.34,4.55,4.54,4.28,4.38,,,,
September,0.73,2.45,3.23,3.81,0.71,0.95,4.07,3.33,0.59,3.3,1.4,1.16,1.25,4.72,1.77,1.14,,,,
October,2.58,5.27,3.35,1.83,2.85,2.14,2.86,0.86,2.5,3.18,3.48,2.28,2.55,5.43,1.11,1.65,,,,
November,4.91,2,1.74,1.13,2.63,3.49,1.4,2.87,2.15,1.48,2.43,2.08,1.93,2.65,1.71,2.74,,,,
December,0.53,3.95,3.17,3.35,2.32,2.7,3.85,3.17,2.24,2.76,4.02,4.47,2,1.68,1.91,0.68,,,,
Total,25.21,31.85,31.08,24.15,27.67,26.51,25.73,30.74,23.62,29.5,32.44,25.73,25.72,34.14,23.61,24.37,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Salt Vicarage. Altitudes match.,,,,,,,,,,,,,,,,,,,,
