BISHOP AUCKLAND THE CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ213302,Long,-1.671285,Lat,54.666433,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,2.54,1,0.78,2.77,1.77,2.36,1.55,1.71,6.05,0.8,1.92,1.2,3.05,3.25,,,,,,,,,
February,,,,,,,,0.83,2.5,1.52,1.19,0.04,3.36,3.14,3.17,1.89,0.45,1.31,1.27,1.99,4.87,,,,,,,,,
March,,,,,,,,2.14,5.52,3.45,2.07,3.76,1.61,0.72,1.06,2.4,1.91,3.1,2.37,1.01,1.49,,,,,,,,,
April,,,,,,,,1.13,2.38,2.65,0.77,3.33,1.63,0.24,1.18,1.48,0.79,2.05,2.39,3.15,1.27,,,,,,,,,
May,,,,,,,,2.3,0.56,2.3,2.49,1.81,2.24,2.09,1.86,0.67,0.43,1.89,1.69,4.31,1.43,,,,,,,,,
June,,,,,,,,0.31,2.26,0.3,1.73,0.2,3.52,0.69,3.75,1.01,2.37,2.47,1.62,1.59,3.25,,,,,,,,,
July,,,,,,,,1.21,6.15,2.85,2.4,4.6,2.11,3.21,1.93,6.2,2.1,1,0.87,2.76,1.24,,,,,,,,,
August,,,,,,,,1.06,1.45,3.53,5.81,5.39,3.8,2.22,2.06,1.31,1.73,2.68,1.61,0.9,6.37,,,,,,,,,
September,,,,,,,,3.66,1.24,0.65,1.98,2,2.52,2.07,0.72,0.47,3.09,2.22,0.45,3.03,0.86,,,,,,,,,
October,,,,,,,,2.21,0.54,5.07,2.11,2.43,5.19,0.6,4.95,4.71,4.62,1.7,4.59,1.7,6.25,,,,,,,,,
November,,,,,,,,4.06,5.21,1.15,3.57,2.29,1.17,2.18,0.62,2.29,1.44,1.9,2.67,1.87,2.81,,,,,,,,,
December,,,,,,,,2.47,1.01,0.99,1.93,2.61,0.96,1.68,2.06,2.37,4.05,1.79,1.7,3.28,2.01,,,,,,,,,
Total,,,,,,,,23.92,29.82,25.24,28.82,30.23,30.47,20.39,25.07,30.85,23.78,24.03,22.43,28.64,35.1,,,,,,,,,
