MAER-HALL-GDNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ791381,Long,-2.3124332,Lat,52.939882,Elevation,410,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.23,,3.57,1.42,2.13,1.55,4.32,3.95,2.56,2.3,2.35,3.05,1.31,4.97,1.56,1.67,1.81,2.21,0.89,3.69,3.85,2.19,2.86,1.88,3.02,1.96,2.84,2.93,2.93,3.98,2.72,2.78,2.32,3.3,2.55,6.28,1.95,4.59,3.03,3.28,2.21,2.71,1.56,4.64,3.98,3.73,7.18,1.89,2.15,3.88,5.07,3.83,3.34,2.86,1.99,6.45,2.94,1.51,2.62,2.59,1,1.68,2.53,3.6,2.24,3.03,3.2,3.67
February,,,,,,1.23,1.61,2.51,2.06,1.69,4.02,1.81,1.74,1.51,3.36,0.82,2.6,2.14,2.32,1.07,3.08,1.6,1.07,1.12,2.4,3.39,3.89,1.27,2.51,1.79,3.46,0.79,3.12,3.19,0.98,4.43,3.24,1.82,3.13,0.57,0.31,3.69,0.24,4.02,0.45,3.61,2.25,5.11,0.65,2.07,2.59,3.05,1.52,1.24,1.69,2.59,5.78,1.03,1.88,0.94,6.29,2.69,1.1,1.71,2.43,1.85,0.55,2.99,3.98,0.47,1.37
March,,,,,,2.84,3.33,2.55,1.14,1.14,1.17,2.73,2.4,4.44,1.8,4.27,2.36,1.66,3.38,2.99,1.06,1.59,4.18,4.23,3.59,1.45,3.27,2.08,1.56,5.92,2.4,1.44,3.11,1.86,1.24,1.02,0.86,3.29,1.86,0.54,4.44,0.07,2.08,2.81,2.5,0.74,2.18,2.89,0.72,2.06,2.47,3.04,2.1,1.15,0.76,1.34,1.11,5.58,0.97,1.74,1.39,4.15,1.47,1.37,2.45,2.68,1.48,2.59,0.98,1.4,0.49
April,,,,,,2.24,1.57,3.07,1.84,2.89,1.34,2.28,2,1.34,1.76,1.74,1.15,1.66,3.58,2.75,2.59,0.92,0.67,4.33,1.25,1.3,1.88,1.86,1.69,1.81,5,2.29,1.69,2.38,2.94,1.74,1.6,2.21,1.67,0.6,2.64,4.54,3.82,1,1.96,3.43,2.15,3.23,0.17,1.97,3.05,1.38,1.31,1.17,2.13,1.6,1.03,2.63,2.53,3.25,3.54,1.97,2.23,2.89,0.5,1.49,1.46,0.27,0.92,3.55,0.25
May,,,,2.53,,1.05,0.66,1.91,3.46,2.72,1.85,1.71,3.21,3,2.23,0.76,3.05,3.93,2.87,1.56,2.93,0.71,2.61,2.42,2.36,2.01,1.98,2,2.76,1,3.49,1.12,0.82,4.78,4.3,4.05,4.16,1.69,0.72,2.09,2.36,4.84,6.02,1.46,1.3,0.95,0.77,2.78,3,1.33,1.53,3.4,3.59,3.04,1.41,4.05,1.93,2.92,2.52,2.84,1.47,3.12,1.44,2.41,2.04,3.81,0.75,1.43,2.47,0.48,1.22
June,,,,2.05,,1.33,2.88,3.6,2.45,2.53,3.75,1.52,2.54,1.29,1.2,2.38,1.97,5.31,3.16,4.32,2.43,2.69,5.08,1.33,1.65,1.54,2.26,1.29,1.36,1.54,2.54,0.46,0.98,0.82,2.35,0.07,2.31,5.53,4.16,1.55,1.34,4.44,0.7,2.26,1.3,3.6,4.58,0.76,2.06,1.99,1.48,1.01,0.58,2.68,2.21,2.9,2.74,1.41,5.18,0.63,1.53,1.65,2.16,2.7,4.33,3.02,3.44,1.99,5.17,1.33,1.23
July,,,,3.51,,3.84,1.85,0.82,1.34,2.21,3.4,3.35,2.03,3.32,2.42,2.09,0.41,4.61,3.18,5.47,4.13,0.33,3.69,1.61,5.84,8.16,2.97,1.37,4.07,2.51,6.8,0.67,4.76,2.97,7.56,2.62,3.42,2.94,1.93,2.56,8.04,3.61,3.24,2.1,1.64,0.71,6.33,3.84,3.37,9.18,3.67,2.66,3.27,2.65,3.16,1.48,2.44,3.76,2.13,1.94,3.72,1.86,1.43,3.79,3.14,0.55,5.55,7.97,4.85,1.28,1.9
August,,,,2.03,,3.09,,4.1,5.09,0.92,5.8,3.87,3.41,5.12,4.41,5.03,2.13,4.09,3.42,2.79,5.02,2.07,7.52,2.49,3.95,3.82,3.09,4.4,3.02,3.11,2.11,4.65,3.67,3.57,5.86,3.21,3.58,4.75,3.77,3.53,4.5,6.13,1.54,1.25,3.07,2.23,1.86,1.1,3.46,1.45,0.54,4.47,2.21,3.33,4.17,3.18,5.14,0.64,5.19,1.77,6.82,4.82,2.27,3.05,5.82,1.55,5.22,6.12,3.95,1.18,4.19
September,,,,2.41,,0.64,,4.04,1.4,3.57,1.01,1.17,1.21,4.84,1.45,1.48,1.62,1.02,4.16,3.28,0.53,1.83,1.69,1.96,1.85,0.63,3.01,1.46,6.49,2.9,3.21,0.97,4.53,3.38,4.98,4.92,1.55,3.71,1.11,1.5,3.6,3.45,2.02,1.23,2.61,4.92,4.64,1.78,1.64,0.99,2.43,0.76,2.42,4.27,4.55,1.72,4.98,1.64,2.28,0.54,5.14,2.21,3.07,2.66,3.14,3.71,2.64,7.18,4.69,0.3,4.85
October,,,,1.77,,2.4,,1.79,3.49,3.46,3.86,2.4,3.39,6.45,1.84,2.39,5.65,4.35,2,5.41,2.26,2.9,2.99,3.14,1.89,2.37,5.63,6.74,1.8,4.43,2.7,2.22,0.25,3.88,5.48,4.69,2.57,2.64,4.26,4.96,4.43,0.68,6.38,5.97,3.19,5.4,2.36,2.38,3.69,3.17,4.27,3.5,2.62,2.58,5.22,5.88,0.64,0.58,2.8,3.49,1.23,1.06,4.12,1.8,5.02,1.99,2.49,2.53,3.67,2.04,4.1
November,,,,2.13,,2.47,,2.25,2.29,1.58,3.01,2.62,2.07,3.13,1.83,3.47,2.67,3.11,2.59,1.64,6.51,2.94,3.37,2.58,3.45,3.27,3.82,2.83,1.78,2.21,1.08,2.22,1.56,2.75,1.73,2.17,5.56,3.03,5.16,6.48,3.93,6.39,3.35,1.39,2.95,6.06,3.57,1.4,4.45,4.73,7.33,3.27,0.81,2.96,4.83,0.37,5.36,3.26,2,3.37,4.66,5.8,1.89,1.98,4.96,1.96,1.64,1.91,1.8,2.3,4.7
December,,,,3.6,,2.76,,4.15,2.73,3.02,4.26,3.34,2.44,1.53,1.85,0.62,3.79,2.54,2.81,4.97,4.77,4.7,2.29,1.87,7.62,4.48,2.46,1.75,5.34,5.72,2.5,2.8,5.3,5.75,3.71,2.18,0.7,1.79,3.06,5.5,3.9,2.54,1.29,0.36,5.32,3.68,2.69,4.13,3.91,1.95,3,1.76,3.16,1.73,2.03,3.26,3.19,2.93,4.53,3.37,2.92,3.36,2.65,1.23,3.41,2.39,3.01,1.36,2.8,4.17,2.66
Total,,,,,,27.46,,32.92,28.84,30.05,37.42,29.36,28.74,38.32,27.2,26.36,32.37,35.98,35.14,38.06,37.52,23.17,38.85,30.93,38.04,35.28,36.14,30.07,34.34,35.78,38.22,22.56,33.77,38.05,43.91,33.42,32.85,35.95,37.11,31.83,44.08,43.41,33.96,26.06,29,36.89,38.02,33.38,30.85,38.07,34.25,30.45,27.47,31.87,35.99,31.71,37.2,28.37,38.46,26.82,40.22,35.31,26.42,26.59,38.92,27.53,31.83,38.58,38.31,21.7,30.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR on 1950s record sheet, SJ794382, does not quite fit the altitude or the location description. NGR used better fits these",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
