"KNITSLEY, SHOTLEY BRIDGE",,,,,,,,,,,,,,,,,,,,
Grid ref,NZ090529,Long,-1.8612874,Lat,54.870793,Elevation,345,ft,,,,,,,,,,,,
Station no,RR6322,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,0.57,3.5,5.17,2.68,5.25,2.17,1.25,1.27,2.8,0.94,1.48,3.71,2.18,4.87,0.83,,,
February,,,2.35,3.68,1.78,2.22,1.66,0.75,1.71,0.97,2.03,0.09,2.9,2.81,3.27,3.04,0.77,,,
March,,,1.2,2.78,3.17,2.95,4.76,2.6,7.52,3.09,3.06,3.55,1.44,0.58,1,3.23,2.63,,,
April,,,4.1,2.28,2.68,2.47,1.66,1.02,2.19,4.42,,2.82,1.33,0.49,1.17,1.5,0.87,,,
May,,,0.89,2.98,1.59,4.97,4.07,1.51,0.97,1.65,,1.82,3.79,2.26,2.56,0.86,0.82,,,
June,,,3.71,2.42,0.96,1.86,0.22,0.31,2.68,0.45,,0.45,3.12,1.09,3.2,1.96,2.03,,,
July,,,2.68,3.95,3.52,0.87,6.09,1.06,6.75,3.01,1.55,4.17,1.5,4.19,1.61,5.36,2.62,,,
August,,,1.54,1.76,0.74,4.14,0.75,2.08,2.01,4.68,6.54,4.89,3.57,3.31,2.39,1.72,2.85,,,
September,,,2.09,4.52,1.66,2.75,1.29,5.35,1.87,0.74,1.61,2.19,2.5,1.63,1.2,1.16,3.15,,,
October,,,4.85,2.45,2.16,4.99,5.92,2.92,1.1,6.41,2,2.85,6.26,0.89,4.59,3.98,3.57,,,
November,,,3.9,1.9,1.9,2.6,4.86,5.52,7.27,1.23,4,2.2,0.98,2.49,1.06,3.31,1.82,,,
December,,,3.92,1.92,1.93,0.98,6.38,2.49,1.28,1.66,2.25,4.05,0.75,2,1.15,3.15,4.91,,,
Total,,,31.8,34.14,27.26,33.48,42.91,27.78,36.6,29.58,,30.02,29.62,25.45,25.38,34.14,26.87,,,
,,,,,,,,,,,,,,,,,,,,
1887 May,,,,,,,,,,,,,,,,,,,,
