DARLINGTON (SOUTH PARK),,,,,,,,,,,,
Grid ref,NZ286135,Long,-1.559731,Lat,54.515999,,,,,,,
Station no,3501,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.87,1.68,0.44,1.88,1.83,3.10,2.00,1.80,2.41,4.39,,
February,2.60,0.51,2.22,2.22,1.78,2.81,2.02,3.89,0.64,2.29,,
March,2.95,1.22,0.12,1.54,1.51,0.62,0.99,2.08,0.83,2.14,,
April,1.23,1.75,1.86,0.37,0.90,0.87,0.27,1.38,1.80,0.86,,
May,2.65,1.13,1.69,2.58,2.00,0.40,1.52,2.85,0.43,1.65,,
June,0.62,0.83,2.02,2.12,2.33,2.88,1.71,3.23,1.70,0.42,,
July,2.05,0.83,3.16,1.85,0.90,4.38,3.51,2.91,1.62,4.38,,
August,5.88,2.15,3.46,4.48,0.63,7.30,3.03,4.30,0.42,2.59,,
September,0.93,3.43,1.87,1.96,1.00,2.69,3.65,2.41,1.14,2.62,,
October,1.13,2.42,1.74,4.23,1.80,1.34,1.92,1.46,1.51,5.98,,
November,5.60,2.28,1.54,4.21,2.25,0.62,1.48,0.67,3.41,2.94,,
December,2.67,1.68,0.93,1.71,2.82,2.81,1.81,3.39,2.92,2.37,,
Total,30.18,19.91,21.05,29.15,19.75,29.82,23.91,30.37,18.83,32.63,,
Calc annual,30.18,19.91,21.05,29.15,19.75,29.82,23.91,30.37,18.83,32.63,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
