DARLINGTON SOUTH PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ286134,Long,-1.55974,Lat,54.5151,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1.07,2.84,3.34,1.4,0.41,2.48,2,0.61,2.88,,1.08,1.04,2.41,1.7,2.99,3.87,2.06,2.55,0.77,3.3,2.3,2.4,3.2,3.52,3.2,1.02,1.84,1.57,2.4,2.31,3.18,1.71,2.97,1.94,1.9,1.79,1.51,2.07,2.96,2.97,2.06,4.81,1.8,3.12,2.11,3.37,1.07,3.48,1.76,2.03,5.78,0.71,1.45,1.87,1.68,0.44,1.88,1.83,3.1,2,1.8,2.41,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,2.42,1.82,5.92,1.39,1.62,1.38,1.75,0.75,1.25,,1.8,1.49,2.19,1.16,1.9,0.94,1.38,3.24,3.42,0.9,1.8,1.7,0.68,0.14,2.4,3.87,0.63,2.92,2.39,0.93,1.69,0.91,1.27,1.27,0.81,3.63,0.4,2.54,3.09,3.07,1.2,1.08,2.07,4.54,2.02,0.52,1.72,2.14,0.65,2.27,0.97,0.51,3.1,2.6,0.51,2.22,2.22,1.78,2.81,2.02,3.89,0.64,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,2.26,1.24,1.56,2.33,1.01,2.8,1.92,1.49,1.13,,3.72,4.99,0.69,2.38,2.48,3.09,2.02,1.46,3.83,2.3,1.2,2.4,2.43,0.81,1.37,1.72,1.51,1.28,1.21,2.48,2.93,0.12,2.7,0.96,1.72,1.68,1.6,0.57,2.02,2.79,0.16,2.19,1.72,2.22,1.44,0.41,0.49,0.34,0.88,3.82,1.29,0.9,0.65,2.95,1.22,0.12,1.54,1.51,0.62,0.99,2.08,0.83,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.57,2.74,1.13,1.56,1.72,1.34,1.1,2.54,1.06,,2.78,2.17,2.21,1.36,0.04,4.06,0.67,0.95,0.93,1.8,1.5,1.4,2.88,0.95,2.41,1.83,1.73,2.53,1.35,1.98,1.22,1.31,2.61,2.96,1.07,0.87,3.04,2.48,1.17,2.5,0.08,0.95,1.09,0.7,0.94,0.8,2.09,0.84,1.46,2.54,1.13,1.29,1.96,1.23,1.75,1.86,0.37,0.9,0.87,0.27,1.38,1.8,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.93,4.11,1.89,1.45,2.64,3.91,2.68,0.82,2.94,,2.7,,2.53,1.91,-999,2.2,1.56,1.99,2.92,1.1,2,1,3.71,1.29,1.06,2.46,5.33,3.22,2.38,1.85,1.91,1.34,1.51,2.97,3.68,1.98,1.32,0.62,1.94,2.65,2.51,1.03,0.73,1,1.94,1.97,0.86,3.52,2.39,2.11,1.35,0.57,0.78,2.65,1.13,1.69,2.58,2,0.4,1.52,2.85,0.43,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,2.53,2.18,2.64,1.7,1.79,2.31,2.71,1.31,0.68,,0.56,,2.6,2.82,-999,0.83,2.17,0.46,2.26,1.7,0.5,0.9,0.52,0.7,1.78,0.82,2.54,0.14,4.08,2.78,5.5,2.06,1.44,3.29,1.12,1.94,1.66,2.39,4.25,1.11,3.04,2.46,0.35,1.64,0.97,1.07,2.04,1.99,1.49,2.16,3.26,0.93,1.12,0.62,0.83,2.02,2.12,2.33,2.88,1.71,3.23,1.7,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,1.11,2.28,1.94,4.05,3.06,4.47,1.89,0.77,2.52,,3.15,,3.95,0.67,-999,0.51,3.4,3.93,2.53,1,3.6,1.8,4.78,2.16,3.27,2.48,3.54,2.02,3.18,4.09,0.67,2,4.93,4.47,5.1,1.87,1.4,1.05,3.76,2.09,2.67,3.34,6.34,0.61,2.88,1.3,3.78,1.64,3.01,2.15,2.77,1.85,2.23,2.05,0.83,3.16,1.85,0.9,4.38,3.51,2.91,1.62,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,2.14,1.32,6.58,1.22,2.47,1.72,3.26,3.34,2.69,,1.81,,3.41,1.9,-999,1.32,1.67,2.52,2.31,5.4,2.7,2.6,1.52,4.01,1.97,3.42,2.48,3.97,1.89,5.26,3.97,2.27,4.73,3.59,2.56,0.34,2.41,2.39,2.06,0.94,2.26,3.13,0.8,2.11,2.29,3.23,1.55,3.71,3.31,0.27,3.96,3.23,5.28,5.88,2.15,3.46,4.48,0.63,7.3,3.03,4.3,0.42,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,0.3,3.14,0.7,1.31,0.71,2.68,1.42,2.41,0.35,,2.57,,0.41,2.85,-999,3.23,1.81,0.52,1.55,0.8,5,0.6,1.12,0.86,3.19,1.84,2.16,2.99,2.29,4.46,1.07,0.9,3.02,3.33,2.3,1.23,1.53,5.36,3.9,0.99,2.09,1.28,1.12,0.32,2.19,4.02,4.42,1.09,3.46,1.86,2.28,1.17,2.89,0.93,3.43,1.87,1.96,1,2.69,3.65,2.41,1.14,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,3.22,1.98,5.81,2.16,3.5,7.01,0.45,1.71,3.93,,1.51,,2.91,2.59,-999,2.29,2.27,0.5,2.54,1.9,1.6,4.3,1.6,1.24,1.8,2.4,3.33,2.8,2.68,1.88,2.66,2.38,1.59,0.89,3.13,2.92,2.47,3.92,1.38,2.05,3.63,5.35,2.87,2.85,1.64,2.01,2.45,2.76,1.39,0.69,1.14,2.38,0.97,1.13,2.42,1.74,4.23,1.8,1.34,1.92,1.46,1.51,5.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
