BOURNE - GUTHRAM GOWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF171225,Long,-0.265,Lat,52.787,Elevation,19,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,0.28,0.59,0.40,0.96,0.89,1.75,1.49,1.10,1.61,0.90,1.45,1.49,2.62,1.26,1.52,1.81,1.41,2.76,0.91,3.33,1.39,2.87,1.70,1.66,1.40,0.82,1.02,1.11,1.40,3.13,3.25,2.43,4.10,1.51,2.68,2.20,3.92,1.87,1.74,1.18,1.64,3.71,1.29,0.73,2.54,1.67,0.78,1.25,2.19,3.74,0.87,2.46,2.33,3.16
February,0.69,0.71,0.14,1.81,0.64,0.99,0.56,0.71,1.54,3.22,0.64,0.98,1.74,0.54,0.42,2.09,3.49,0.59,2.58,1.26,2.03,1.20,1.13,0.42,1.76,0.57,1.34,0.78,1.70,2.12,2.49,1.27,0.62,2.90,2.12,1.38,0.31,1.85,1.82,2.54,1.42,0.84,0.61,3.06,3.30,0.29,1.15,1.93,2.18,0.53,2.79,2.83,0.18,2.23
March,0.94,1.58,1.51,0.49,1.06,1.44,2.42,2.19,0.90,3.14,0.73,0.51,2.15,1.56,0.54,1.17,1.78,0.53,0.95,0.26,1.99,1.81,0.10,1.37,0.11,1.54,1.91,1.29,0.69,0.95,2.74,0.20,1.57,1.79,3.68,1.23,0.68,0.22,0.64,1.08,3.84,0.44,0.79,0.50,3.39,2.29,0.77,1.46,1.58,0.85,1.77,1.35,2.74,1.37
April,1.69,1.56,1.21,1.57,0.58,0.09,1.50,0.81,0.36,1.01,1.01,1.42,1.55,3.26,1.05,2.38,0.82,1.53,1.53,2.13,1.55,0.60,0.99,2.05,1.79,2.22,0.94,1.93,2.90,1.84,2.49,0.07,2.08,1.07,0.98,0.69,0.97,2.03,1.05,1.32,2.00,1.28,2.01,2.21,1.77,1.35,1.61,0.16,0.96,1.08,0.13,0.69,1.17,0.36
May,2.63,1.66,1.05,2.61,0.53,3.45,2.51,1.02,1.60,1.76,1.09,2.30,0.40,2.04,1.08,1.05,0.88,3.35,3.59,1.98,0.91,2.50,1.27,2.15,2.22,3.31,1.29,0.43,0.55,1.50,4.51,2.54,0.91,1.03,2.93,2.80,2.34,1.18,1.31,1.52,0.32,2.66,2.09,2.83,3.12,1.98,2.73,3.14,2.50,0.89,1.63,2.23,0.73,0.76
June,1.21,1.12,3.39,0.85,1.91,2.76,0.75,1.90,1.16,2.01,1.41,0.41,0.90,2.24,0.26,0.82,0.47,2.06,0.06,,3.74,4.59,1.48,0.92,1.56,0.36,1.77,1.34,2.75,4.26,1.64,0.79,1.85,0.86,0.59,1.35,2.49,2.91,1.77,2.59,3.60,3.93,0.63,2.02,0.67,0.89,3.43,2.93,2.17,2.20,2.11,3.99,0.28,1.29
July,2.36,2.00,2.61,2.46,0.17,4.93,0.70,2.33,5.12,3.01,1.08,2.88,2.60,2.92,0.24,4.84,2.68,2.76,1.37,1.44,2.19,2.60,2.71,2.44,3.24,4.05,0.48,2.07,0.46,4.32,2.43,2.00,3.23,3.67,5.00,2.19,1.14,2.46,2.02,1.69,1.46,0.97,2.49,2.84,1.26,0.17,1.70,2.52,0.48,2.62,3.12,3.84,2.10,2.71
August,2.25,1.94,1.44,2.77,1.38,5.23,0.56,1.21,2.85,2.57,3.97,1.37,2.29,0.77,2.15,2.12,1.62,1.98,1.85,0.74,2.93,2.68,1.34,2.37,2.64,2.58,0.45,2.23,1.88,1.06,0.44,2.17,2.75,0.49,3.97,2.55,2.23,3.31,2.52,3.75,0.00,2.20,1.03,2.04,3.68,2.86,2.10,3.69,1.00,3.77,2.34,3.29,0.88,2.37
September,0.83,1.81,1.32,1.01,1.21,0.70,1.71,0.55,0.87,1.44,0.86,3.79,1.33,1.39,0.58,1.71,2.02,1.68,3.08,2.37,4.31,0.58,0.62,3.32,2.85,2.78,2.40,1.01,2.70,1.51,1.25,1.85,1.18,0.58,0.87,1.62,2.12,5.15,1.32,2.90,1.10,2.23,1.28,2.53,1.34,2.02,0.97,1.96,0.81,1.42,3.96,1.87,0.42,2.42
October,2.76,1.02,2.59,1.24,2.04,1.64,2.63,1.76,1.18,1.55,2.72,1.45,1.35,1.28,1.10,1.17,2.33,4.77,2.50,2.15,1.85,4.31,2.80,0.86,0.63,2.40,2.15,0.74,2.26,1.53,2.18,1.84,4.25,3.06,2.45,2.55,1.53,2.48,2.37,2.19,0.21,2.05,3.77,0.68,0.95,2.63,2.38,2.58,1.59,0.88,1.07,2.08,0.98,4.97
