"BOURNE GUTHRAM",,,,,,,,,,,,
Grid ref,TF171225,Long,-0.265052,Lat,52.787379,,,,,,,
Station no,2530,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.54,1.67,0.78,1.25,2.19,3.74,0.87,2.46,2.33,3.16,,
February,3.30,0.29,1.15,1.93,2.18,0.53,2.79,2.83,0.18,2.23,,
March,3.39,2.29,0.77,1.46,1.58,0.85,1.77,1.35,2.74,1.37,,
April,1.77,1.35,1.61,0.16,0.96,1.08,0.13,0.69,1.17,0.36,,
May,3.12,1.98,2.73,3.14,2.50,0.89,1.63,2.23,0.73,0.76,,
June,0.67,0.89,3.43,2.93,2.17,2.20,2.11,3.99,0.28,1.29,,
July,1.26,0.17,1.70,2.52,0.48,2.62,3.12,3.84,2.10,2.71,,
August,3.68,2.86,2.10,3.69,1.00,3.77,2.34,3.29,0.88,2.37,,
September,1.34,2.02,0.97,1.96,0.81,1.42,3.96,1.87,0.42,2.42,,
October,0.95,2.63,2.38,2.58,1.59,0.88,1.07,2.08,0.98,4.97,,
November,3.82,2.60,1.93,4.55,1.35,0.58,1.61,1.25,1.52,3.26,,
December,1.29,1.62,0.55,2.18,1.45,1.80,1.91,2.65,3.46,3.57,,
Total,27.13,20.37,20.10,28.35,18.26,20.36,23.31,28.53,16.79,28.47,,
Calc annual,27.13,20.37,20.10,28.35,18.26,20.36,23.31,28.53,16.79,28.47,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
