"BOURNE GUTHRAM",,,,,,,,,,,,
Grid ref,TF169237,Long,-0.267588,Lat,52.798205,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.28,0.59,0.40,,
February,,,,,,,,0.69,0.71,0.14,,
March,,,,,,,,0.94,1.58,1.51,,
April,,,,,,,,1.69,1.56,1.21,,
May,,,,,,,,2.63,1.66,1.05,,
June,,,,,,,,1.21,1.12,3.39,,
July,,,,,,,,2.36,2.00,2.61,,
August,,,,,,,,2.25,1.94,1.44,,
September,,,,,,,,0.83,1.81,1.32,,
October,,,,,,,,2.76,1.02,2.59,,
November,,,,,,,,1.75,0.77,0.44,,
December,,,,,,,,2.27,0.87,2.95,,
Total,,,,,,,,19.66,15.63,19.05,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.66,15.63,19.05,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
