KNOCKBREX BORGUE (CORSEYARD),,,,,,,,,,,
Grid ref,NX584497,Long,-4.2054893,Lat,54.822,Elevation,10,ft,,,
Station no,5013,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,6.74,4.52,3.51,5.62,4.5,4.9,4.36,9.2,3.03,
February,,0.52,4.28,6.14,0.93,5.22,5.5,2.88,3.46,,
March,,5.23,1.43,1.49,0.73,1.43,2.44,4.12,5.12,,
April,,1.46,2.61,2.55,2.01,3.51,1.87,2.29,1.47,,
May,,1.81,2.28,1.83,4.44,4.4,2.03,2.26,1.87,,
June,,0.61,1.78,1.54,2.26,0.19,2.15,3.77,6.23,,
July,,4.22,4.4,3.44,4.24,2.29,2.52,3.27,3.6,,
August,,5.64,3.16,8.57,5.43,4.54,4.38,5.08,5.83,,
September,,2.55,2.8,4.42,5.96,3.4,2.59,5.31,2.15,,
October,,3.2,1.81,5.2,3.9,4.76,4.61,4.44,8.05,,
November,,2.43,3.06,5.12,2.83,1.75,6.97,5.2,7.78,,
December,,4.38,3.95,5.61,6.41,4.44,1.52,1.47,4.24,,
Total,,38.79,36.08,49.42,44.76,40.43,41.48,44.45,59,,
,,,,,,,,,,,
1920 - completely estimated,,,,,,,,,,,
"1929 gauge moved to Corseyard, 2nd Feb",,,,,,,,,,,
